light_cone_name,image_url,local_image_path
Darting Arrow,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/darting-arrow.webp?v=1778524336072,prydwen_assets\light_cones\darting_arrow.png
Data Bank,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/data-bank.webp?v=1778524336072,prydwen_assets\light_cones\data_bank.png
Day One of My New Life,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/day-one-of-my-new-life.webp?v=1778524336072,prydwen_assets\light_cones\day_one_of_my_new_life.png
Dazzled by a Flowery World,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/dazzled-by-a-flowery-world.webp?v=1778524336072,prydwen_assets\light_cones\dazzled_by_a_flowery_world.png
Defense,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/defense.webp?v=1778524336072,prydwen_assets\light_cones\defense.png
Destiny's Threads Forewoven,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/destinys-threads-forewoven.webp?v=1778524336072,prydwen_assets\light_cones\destiny's_threads_forewoven.png
Dream's Montage,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/dreams-montage.webp?v=1778524336072,prydwen_assets\light_cones\dream's_montage.png
Dreamville Adventure,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/dreamville-adventure.webp?v=1778524336072,prydwen_assets\light_cones\dreamville_adventure.png
Earthly Escapade,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/earthly-escapade.webp?v=1778524336072,prydwen_assets\light_cones\earthly_escapade.png
Echoes of the Coffin,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/echoes-of-the-coffin.webp?v=1778524336072,prydwen_assets\light_cones\echoes_of_the_coffin.png
Elation Brimming With Blessings,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/elation-brimming-with-blessings.webp?v=1778524336072,prydwen_assets\light_cones\elation_brimming_with_blessings.png
Epoch Etched in Golden Blood,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/epoch-etched-in-golden-blood.webp?v=1778524336072,prydwen_assets\light_cones\epoch_etched_in_golden_blood.png
Eternal Calculus,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/eternal-calculus.webp?v=1778524336072,prydwen_assets\light_cones\eternal_calculus.png
Eyes of the Prey,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/eyes-of-the-prey.webp?v=1778524336072,prydwen_assets\light_cones\eyes_of_the_prey.png
Fermata,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/fermata.webp?v=1778524336072,prydwen_assets\light_cones\fermata.png
Final Victor,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/final-victor.webp?v=1778524336072,prydwen_assets\light_cones\final_victor.png
Fine Fruit,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/fine-fruit.webp?v=1778524336072,prydwen_assets\light_cones\fine_fruit.png
"Flame of Blood, Blaze My Path",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/flame-of-blood-blaze-my-path.webp?v=1778524336072,"prydwen_assets\light_cones\flame_of_blood,_blaze_my_path.png"
Flames Afar,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/flames-afar.webp?v=1778524336072,prydwen_assets\light_cones\flames_afar.png
Flickering Stars,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/flickering-stars.webp?v=1787563505145,prydwen_assets\light_cones\flickering_stars.png
Flowing Nightglow,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/flowing-nightglow.webp?v=1778524336072,prydwen_assets\light_cones\flowing_nightglow.png
Fly Into a Pink Tomorrow,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/fly-into-a-pink-tomorrow.webp?v=1778524336072,prydwen_assets\light_cones\fly_into_a_pink_tomorrow.png
For Tomorrow's Journey,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/for-tomorrows-journey.webp?v=1778524336072,prydwen_assets\light_cones\for_tomorrow's_journey.png
Geniuses' Greetings,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/geniuses-greetings.webp?v=1778524336072,prydwen_assets\light_cones\geniuses'_greetings.png
Geniuses' Repose,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/geniuses-repose.webp?v=1778524336072,prydwen_assets\light_cones\geniuses'_repose.png
Good Night and Sleep Well,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/good-night-and-sleep-well.webp?v=1778524336072,prydwen_assets\light_cones\good_night_and_sleep_well.png
"Hey, Over Here",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/hey-over-here.webp?v=1778524336072,"prydwen_assets\light_cones\hey,_over_here.png"
Hidden Shadow,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/hidden-shadow.webp?v=1778524336072,prydwen_assets\light_cones\hidden_shadow.png
Holiday Thermae Escapade,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/holiday-thermae-escapade.webp?v=1778524336072,prydwen_assets\light_cones\holiday_thermae_escapade.png
I Am As You Behold,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/i-am-as-you-behold.webp?v=1787563501701,prydwen_assets\light_cones\i_am_as_you_behold.png
I Shall Be My Own Sword,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/i-shall-be-my-own-sword.webp?v=1778524336072,prydwen_assets\light_cones\i_shall_be_my_own_sword.png
I Venture Forth to Hunt,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/i-venture-forth-to-hunt.webp?v=1778524336072,prydwen_assets\light_cones\i_venture_forth_to_hunt.png
If Time Were a Flower,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/if-time-were-a-flower.webp?v=1778524336072,prydwen_assets\light_cones\if_time_were_a_flower.png
In Pursuit of the Wind,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/in-pursuit-of-the-wind.webp?v=1778524336072,prydwen_assets\light_cones\in_pursuit_of_the_wind.png
In the Name of the World,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/in-the-name-of-the-world.webp?v=1778524336072,prydwen_assets\light_cones\in_the_name_of_the_world.png
In the Night,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/in-the-night.webp?v=1778524336072,prydwen_assets\light_cones\in_the_night.png
Incessant Rain,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/incessant-rain.webp?v=1778524336072,prydwen_assets\light_cones\incessant_rain.png
Indelible Promise,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/indelible-promise.webp?v=1778524336072,prydwen_assets\light_cones\indelible_promise.png
Inherently Unjust Destiny,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/inherently-unjust-destiny.webp?v=1778524336072,prydwen_assets\light_cones\inherently_unjust_destiny.png
Into the Unreachable Veil,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/into-the-unreachable-veil.webp?v=1778524336072,prydwen_assets\light_cones\into_the_unreachable_veil.png
It's Showtime,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/its-showtime.webp?v=1778524336072,prydwen_assets\light_cones\it's_showtime.png
"Journey, Forever Peaceful",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/journey-forever-peaceful.webp?v=1778524336072,"prydwen_assets\light_cones\journey,_forever_peaceful.png"
Landau's Choice,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/landaus-choice.webp?v=1778524336072,prydwen_assets\light_cones\landau's_choice.png
Lies Dance on the Breeze,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/lies-dance-on-the-breeze.webp?v=1778524336072,prydwen_assets\light_cones\lies_dance_on_the_breeze.png
Life Should Be Cast to Flames,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/life-should-be-cast-to-flames.webp?v=1778524336072,prydwen_assets\light_cones\life_should_be_cast_to_flames.png
Lingering Tear,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/lingering-tear.webp?v=1778524336072,prydwen_assets\light_cones\lingering_tear.png
Long May Rainbows Adorn the Sky,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/long-may-rainbows-adorn-the-sky.webp?v=1778524336072,prydwen_assets\light_cones\long_may_rainbows_adorn_the_sky.png
Long Road Leads Home,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/long-road-leads-home.webp?v=1778524336072,prydwen_assets\light_cones\long_road_leads_home.png
Loop,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/loop.webp?v=1778524336072,prydwen_assets\light_cones\loop.png
Make Farewells More Beautiful,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/make-farewells-more-beautiful.webp?v=1778524336072,prydwen_assets\light_cones\make_farewells_more_beautiful.png
Make the World Clamor,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/make-the-world-clamor.webp?v=1778524336072,prydwen_assets\light_cones\make_the_world_clamor.png
Mediation,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/mediation.webp?v=1778524336072,prydwen_assets\light_cones\mediation.png
Memories of the Past,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/memories-of-the-past.webp?v=1778524336072,prydwen_assets\light_cones\memories_of_the_past.png
Memory's Curtain Never Falls,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/memorys-curtain-never-falls.webp?v=1778524336072,prydwen_assets\light_cones\memory's_curtain_never_falls.png
Meshing Cogs,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/meshing-cogs.webp?v=1778524336072,prydwen_assets\light_cones\meshing_cogs.png
Moment of Victory,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/moment-of-victory.webp?v=1778524336072,prydwen_assets\light_cones\moment_of_victory.png
Multiplication,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/multiplication.webp?v=1778524336072,prydwen_assets\light_cones\multiplication.png
Mushy Shroomy's Adventures,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/mushy-shroomys-adventures.webp?v=1778524336072,prydwen_assets\light_cones\mushy_shroomy's_adventures.png
Mutual Demise,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/mutual-demise.webp?v=1778524336072,prydwen_assets\light_cones\mutual_demise.png
Never Forget Her Flame,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/never-forget-her-flame.webp?v=1778524336072,prydwen_assets\light_cones\never_forget_her_flame.png
Night of Fright,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/night-of-fright.webp?v=1778524336072,prydwen_assets\light_cones\night_of_fright.png
Night on the Milky Way,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/night-on-the-milky-way.webp?v=1778524336072,prydwen_assets\light_cones\night_on_the_milky_way.png
Ninja Record: Sound Hunt,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/ninja-record-sound-hunt.webp?v=1778524336072,prydwen_assets\light_cones\ninja_record_sound_hunt.png
Ninjutsu Inscription: Dazzling Evilbreaker,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/ninjutsu-inscription-dazzling-evilbreaker.webp?v=1778524336072,prydwen_assets\light_cones\ninjutsu_inscription_dazzling_evilbreaker.png
Nowhere to Run,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/nowhere-to-run.webp?v=1778524336072,prydwen_assets\light_cones\nowhere_to_run.png
On the Fall of an Aeon,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/on-the-fall-of-an-aeon.webp?v=1778524336072,prydwen_assets\light_cones\on_the_fall_of_an_aeon.png
Only Silence Remains,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/only-silence-remains.webp?v=1778524336072,prydwen_assets\light_cones\only_silence_remains.png
Passkey,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/passkey.webp?v=1778524336072,prydwen_assets\light_cones\passkey.png
Past Self in Mirror,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/past-self-in-mirror.webp?v=1778524336072,prydwen_assets\light_cones\past_self_in_mirror.png
Past and Future,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/past-and-future.webp?v=1778524336072,prydwen_assets\light_cones\past_and_future.png
Patience Is All You Need,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/patience-is-all-you-need.webp?v=1778524336072,prydwen_assets\light_cones\patience_is_all_you_need.png
Perfect Timing,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/perfect-timing.webp?v=1778524336072,prydwen_assets\light_cones\perfect_timing.png
Pioneering,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/pioneering.webp?v=1778524336072,prydwen_assets\light_cones\pioneering.png
Planetary Rendezvous,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/planetary-rendezvous.webp?v=1778524336072,prydwen_assets\light_cones\planetary_rendezvous.png
Poised to Bloom,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/poised-to-bloom.webp?v=1778524336072,prydwen_assets\light_cones\poised_to_bloom.png
Post-Op Conversation,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/post-op-conversation.webp?v=1778524336072,prydwen_assets\light_cones\post-op_conversation.png
Quid Pro Quo,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/quid-pro-quo.webp?v=1778524336072,prydwen_assets\light_cones\quid_pro_quo.png
Race to the HorizonNew,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/race-to-the-horizon.webp?v=1787564124816,prydwen_assets\light_cones\race_to_the_horizonnew.png
Reforged Remembrance,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/reforged-remembrance.webp?v=1778524336072,prydwen_assets\light_cones\reforged_remembrance.png
Reforged in HellfireNew,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/reforged-in-hellfire.webp?v=1780207029311,prydwen_assets\light_cones\reforged_in_hellfirenew.png
Reminiscence,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/reminiscence.webp?v=1778524336072,prydwen_assets\light_cones\reminiscence.png
Resolution Shines As Pearls of Sweat,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/resolution-shines-as-pearls-of-sweat.webp?v=1778524336072,prydwen_assets\light_cones\resolution_shines_as_pearls_of_sweat.png
Return to Darkness,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/return-to-darkness.webp?v=1778524336072,prydwen_assets\light_cones\return_to_darkness.png
Rise and SingNew,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/rise-and-sing.webp?v=1787563316218,prydwen_assets\light_cones\rise_and_singnew.png
River Flows in Spring,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/river-flows-in-spring.webp?v=1778524336072,prydwen_assets\light_cones\river_flows_in_spring.png
Sagacity,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/sagacity.webp?v=1778524336072,prydwen_assets\light_cones\sagacity.png
Sailing Towards A Second Life,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/sailing-towards-a-second-life.webp?v=1778524336072,prydwen_assets\light_cones\sailing_towards_a_second_life.png
Scent Alone Stays True,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/scent-alone-stays-true.webp?v=1778524336072,prydwen_assets\light_cones\scent_alone_stays_true.png
See You at the End,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/see-you-at-the-end.webp?v=1778524336072,prydwen_assets\light_cones\see_you_at_the_end.png
Shadowburn,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/shadowburn.webp?v=1778524336072,prydwen_assets\light_cones\shadowburn.png
Shadowed By Night,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/shadowed-by-night.webp?v=1778524336072,prydwen_assets\light_cones\shadowed_by_night.png
Shared Feeling,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/shared-feeling.webp?v=1778524336072,prydwen_assets\light_cones\shared_feeling.png
Shattered Home,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/shattered-home.webp?v=1778524336072,prydwen_assets\light_cones\shattered_home.png
She Already Shut Her Eyes,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/she-already-shut-her-eyes.webp?v=1778524336072,prydwen_assets\light_cones\she_already_shut_her_eyes.png
Sleep Like the Dead,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/sleep-like-the-dead.webp?v=1778524336072,prydwen_assets\light_cones\sleep_like_the_dead.png
Sneering,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/sneering.webp?v=1778524336072,prydwen_assets\light_cones\sneering.png
Solitary Healing,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/solitary-healing.webp?v=1778524336072,prydwen_assets\light_cones\solitary_healing.png
Something Irreplaceable,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/something-irreplaceable.webp?v=1778524336072,prydwen_assets\light_cones\something_irreplaceable.png
Subscribe for More!,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/subscribe-for-more.webp?v=1778524336072,prydwen_assets\light_cones\subscribe_for_more!.png
Summer Rides the SurfNew,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/summer-rides-the-surf.webp?v=1787563547980,prydwen_assets\light_cones\summer_rides_the_surfnew.png
"Sweat Now, Cry Less",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/sweat-now-cry-less.webp?v=1778524336072,"prydwen_assets\light_cones\sweat_now,_cry_less.png"
Swordplay,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/swordplay.webp?v=1778524336072,prydwen_assets\light_cones\swordplay.png
Texture of Memories,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/texture-of-memories.webp?v=1778524336072,prydwen_assets\light_cones\texture_of_memories.png
The Birth of the Self,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-birth-of-the-self.webp?v=1778524336072,prydwen_assets\light_cones\the_birth_of_the_self.png
The Day The Cosmos Fell,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-day-the-cosmos-fell.webp?v=1778524336072,prydwen_assets\light_cones\the_day_the_cosmos_fell.png
The Finale of a Lie,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-finale-of-a-lie.webp?v=1778524336072,prydwen_assets\light_cones\the_finale_of_a_lie.png
The Flower Remembers,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-flower-remembers.webp?v=1778524336072,prydwen_assets\light_cones\the_flower_remembers.png
The Forever Victual,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-forever-victual.webp?v=1778524336072,prydwen_assets\light_cones\the_forever_victual.png
The Great Cosmic Enterprise,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-great-cosmic-enterprise.webp?v=1778524336072,prydwen_assets\light_cones\the_great_cosmic_enterprise.png
The Hell Where Ideals Burn,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-hell-where-ideals-burn.webp?v=1778524336072,prydwen_assets\light_cones\the_hell_where_ideals_burn.png
The Moles Welcome You,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-moles-welcome-you.webp?v=1778524336072,prydwen_assets\light_cones\the_moles_welcome_you.png
The Seriousness of Breakfast,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-seriousness-of-breakfast.webp?v=1778524336072,prydwen_assets\light_cones\the_seriousness_of_breakfast.png
The Story's Next Page,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-storys-next-page.webp?v=1778524336072,prydwen_assets\light_cones\the_story's_next_page.png
The Unreachable Side,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/the-unreachable-side.webp?v=1778524336072,prydwen_assets\light_cones\the_unreachable_side.png
This Is Me!,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/this-is-me.webp?v=1778524336072,prydwen_assets\light_cones\this_is_me!.png
"This Love, Forever",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/this-love-forever.webp?v=1778524336072,"prydwen_assets\light_cones\this_love,_forever.png"
Those Many Springs,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/those-many-springs.webp?v=1778524336072,prydwen_assets\light_cones\those_many_springs.png
Though Worlds Apart,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/though-worlds-apart.webp?v=1778524336072,prydwen_assets\light_cones\though_worlds_apart.png
Thus Burns the Dawn,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/thus-burns-the-dawn.webp?v=1778524336072,prydwen_assets\light_cones\thus_burns_the_dawn.png
Time Waits for No One,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/time-waits-for-no-one.webp?v=1778524336072,prydwen_assets\light_cones\time_waits_for_no_one.png
Time Woven Into Gold,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/time-woven-into-gold.webp?v=1778524336072,prydwen_assets\light_cones\time_woven_into_gold.png
To Evernight's Stars,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/to-evernights-stars.webp?v=1778524336072,prydwen_assets\light_cones\to_evernight's_stars.png
Today Is Another Peaceful Day,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/today-is-another-peaceful-day.webp?v=1778524336072,prydwen_assets\light_cones\today_is_another_peaceful_day.png
Today's Good Luck,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/todays-good-luck.webp?v=1778524336072,prydwen_assets\light_cones\today's_good_luck.png
"Tomorrow, Together",https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/tomorrow-together.webp?v=1778524336072,"prydwen_assets\light_cones\tomorrow,_together.png"
Trend of the Universal Market,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/trend-of-the-universal-market.webp?v=1778524336072,prydwen_assets\light_cones\trend_of_the_universal_market.png
Under the Blue Sky,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/under-the-blue-sky.webp?v=1778524336072,prydwen_assets\light_cones\under_the_blue_sky.png
Until the Flowers Bloom AgainNew,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/until-the-flowers-bloom-again.webp?v=1778524336072,prydwen_assets\light_cones\until_the_flowers_bloom_againnew.png
Unto Tomorrow's Morrow,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/unto-tomorrows-morrow.webp?v=1778524336072,prydwen_assets\light_cones\unto_tomorrow's_morrow.png
Victory In a Blink,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/victory-in-a-blink.webp?v=1778524336072,prydwen_assets\light_cones\victory_in_a_blink.png
Void,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/void.webp?v=1778524336072,prydwen_assets\light_cones\void.png
Warmth Shortens Cold Nights,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/warmth-shortens-cold-nights.webp?v=1778524336072,prydwen_assets\light_cones\warmth_shortens_cold_nights.png
We Are Wildfire,https://cdn.prydwen.gg/images/honkai-star-rail/light-cones/we-are-wildfire.webp?v=1778524336072,prydwen_assets\light_cones\we_are_wildfire.png
