name,image_url,local_image_path
March 7th • Evernight,https://cdn.prydwen.gg/images/honkai-star-rail/characters/march-7th-evernight_card.webp,prydwen_assets\characters\march_7th_•_evernight.png
March 7th • The Hunt,https://cdn.prydwen.gg/images/honkai-star-rail/characters/march-7th-swordmaster_card.webp,prydwen_assets\characters\march_7th_•_the_hunt.png
Misha,https://cdn.prydwen.gg/images/honkai-star-rail/characters/misha_card.webp,prydwen_assets\characters\misha.png
Mortenax Blade,https://cdn.prydwen.gg/images/honkai-star-rail/characters/blade-mortenax_card.webp,prydwen_assets\characters\mortenax_blade.png
Moze,https://cdn.prydwen.gg/images/honkai-star-rail/characters/moze_card.webp,prydwen_assets\characters\moze.png
Mydei,https://cdn.prydwen.gg/images/honkai-star-rail/characters/mydei_card.webp,prydwen_assets\characters\mydei.png
Natasha,https://cdn.prydwen.gg/images/honkai-star-rail/characters/natasha_card.webp,prydwen_assets\characters\natasha.png
Pearl4.6,https://cdn.prydwen.gg/images/honkai-star-rail/characters/pearl_card.webp,prydwen_assets\characters\pearl4.6.png
Pela,https://cdn.prydwen.gg/images/honkai-star-rail/characters/pela_card.webp,prydwen_assets\characters\pela.png
Phainon,https://cdn.prydwen.gg/images/honkai-star-rail/characters/phainon_card.webp,prydwen_assets\characters\phainon.png
Qingque,https://cdn.prydwen.gg/images/honkai-star-rail/characters/qingque_card.webp,prydwen_assets\characters\qingque.png
Rappa,https://cdn.prydwen.gg/images/honkai-star-rail/characters/rappa_card.webp,prydwen_assets\characters\rappa.png
Rin Tohsaka,https://cdn.prydwen.gg/images/honkai-star-rail/characters/rin-tohsaka_card.webp,prydwen_assets\characters\rin_tohsaka.png
Robin,https://cdn.prydwen.gg/images/honkai-star-rail/characters/robin_card.webp,prydwen_assets\characters\robin.png
Robin SummerettoNew,https://cdn.prydwen.gg/images/honkai-star-rail/characters/robin-summeretto_card.webp,prydwen_assets\characters\robin_summerettonew.png
Ruan Mei,https://cdn.prydwen.gg/images/honkai-star-rail/characters/ruan-mei_card.webp,prydwen_assets\characters\ruan_mei.png
Saber,https://cdn.prydwen.gg/images/honkai-star-rail/characters/saber_card.webp,prydwen_assets\characters\saber.png
Sampo,https://cdn.prydwen.gg/images/honkai-star-rail/characters/sampo_card.webp,prydwen_assets\characters\sampo.png
Seele,https://cdn.prydwen.gg/images/honkai-star-rail/characters/seele_card.webp,prydwen_assets\characters\seele.png
Serval,https://cdn.prydwen.gg/images/honkai-star-rail/characters/serval_card.webp,prydwen_assets\characters\serval.png
Silver Wolf,https://cdn.prydwen.gg/images/honkai-star-rail/characters/silver-wolf_card.webp,prydwen_assets\characters\silver_wolf.png
Silver Wolf • Lv. 999,https://cdn.prydwen.gg/images/honkai-star-rail/characters/silver-wolf-lv-999_card.webp,prydwen_assets\characters\silver_wolf_•_lv._999.png
Sparkle,https://cdn.prydwen.gg/images/honkai-star-rail/characters/sparkle_card.webp,prydwen_assets\characters\sparkle.png
Sparxie,https://cdn.prydwen.gg/images/honkai-star-rail/characters/sparxie_card.webp,prydwen_assets\characters\sparxie.png
Sunday,https://cdn.prydwen.gg/images/honkai-star-rail/characters/sunday_card.webp,prydwen_assets\characters\sunday.png
Sushang,https://cdn.prydwen.gg/images/honkai-star-rail/characters/sushang_card.webp,prydwen_assets\characters\sushang.png
The Dahlia,https://cdn.prydwen.gg/images/honkai-star-rail/characters/the-dahlia_card.webp,prydwen_assets\characters\the_dahlia.png
The Herta,https://cdn.prydwen.gg/images/honkai-star-rail/characters/the-herta_card.webp,prydwen_assets\characters\the_herta.png
Tingyun,https://cdn.prydwen.gg/images/honkai-star-rail/characters/tingyun_card.webp,prydwen_assets\characters\tingyun.png
Tingyun • Fugue,https://cdn.prydwen.gg/images/honkai-star-rail/characters/tingyun-fugue_card.webp,prydwen_assets\characters\tingyun_•_fugue.png
Topaz & Numby,https://cdn.prydwen.gg/images/honkai-star-rail/characters/topaz_card.webp,prydwen_assets\characters\topaz_&_numby.png
Trailblazer • Destruction,https://cdn.prydwen.gg/images/honkai-star-rail/characters/trailblazer-destruction_card.webp,prydwen_assets\characters\trailblazer_•_destruction.png
Trailblazer • Elation,https://cdn.prydwen.gg/images/honkai-star-rail/characters/trailblazer-elation_card.webp,prydwen_assets\characters\trailblazer_•_elation.png
Trailblazer • Harmony,https://cdn.prydwen.gg/images/honkai-star-rail/characters/trailblazer-harmony_card.webp,prydwen_assets\characters\trailblazer_•_harmony.png
Trailblazer • Preservation,https://cdn.prydwen.gg/images/honkai-star-rail/characters/trailblazer-preservation_card.webp,prydwen_assets\characters\trailblazer_•_preservation.png
Trailblazer • Remembrance,https://cdn.prydwen.gg/images/honkai-star-rail/characters/trailblazer-remembrance_card.webp,prydwen_assets\characters\trailblazer_•_remembrance.png
Tribbie,https://cdn.prydwen.gg/images/honkai-star-rail/characters/tribbie_card.webp,prydwen_assets\characters\tribbie.png
Welt,https://cdn.prydwen.gg/images/honkai-star-rail/characters/welt_card.webp,prydwen_assets\characters\welt.png
Xueyi,https://cdn.prydwen.gg/images/honkai-star-rail/characters/xueyi_card.webp,prydwen_assets\characters\xueyi.png
Yanqing,https://cdn.prydwen.gg/images/honkai-star-rail/characters/yanqing_card.webp,prydwen_assets\characters\yanqing.png
Yao Guang,https://cdn.prydwen.gg/images/honkai-star-rail/characters/yao-guang_card.webp,prydwen_assets\characters\yao_guang.png
Yukong,https://cdn.prydwen.gg/images/honkai-star-rail/characters/yukong_card.webp,prydwen_assets\characters\yukong.png
Yunli,https://cdn.prydwen.gg/images/honkai-star-rail/characters/yunli_card.webp,prydwen_assets\characters\yunli.png
