name,slug,rarity,element,path,hp,atk,def,spd,minor_hp_pct,minor_atk_pct,minor_def_pct,minor_spd,minor_crit_rate_pct,minor_crit_dmg_pct,minor_break_effect_pct,minor_effect_res_pct,minor_effect_hit_rate_pct,minor_outgoing_healing_pct,minor_energy_regen_pct,minor_physical_dmg_pct,minor_fire_dmg_pct,minor_ice_dmg_pct,minor_lightning_dmg_pct,minor_wind_dmg_pct,minor_quantum_dmg_pct,minor_imaginary_dmg_pct,hp_with_minor_traces,atk_with_minor_traces,def_with_minor_traces,spd_with_minor_traces,minor_trace_stats_json,source_url
Bailu Best Build Guide | Honkai: Star Rail,bailu,5,Lightning,Abundance,1319,562,485,98,28,,22.5,,,,,10,,,,,,,,,,,1688.32,562.0,594.125,98.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": ""22.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""10"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""28"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\bailu.html
Black Swan Best Build Guide | Honkai: Star Rail,black-swan,5,Wind,Nihility,1086,659,485,102,,28,,,,,,,10,,,,,,,14.4,,,1086.0,843.52,485.0,102.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": ""10"", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": ""14.4""}",file://D:\backup\zero cycling\html\html_pages\black-swan.html
Mortenax Blade Best Build Guide | Honkai: Star Rail,blade-mortenax,5,Fire,Nihility,1359,543,485,107,,,,,12,,,,,,,,22.4,,,,,,1359.0,543.0,485.0,107.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""12"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": ""22.4"", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\blade-mortenax.html
Blade Best Build Guide | Honkai: Star Rail,blade,5,Wind,Destruction,1358,543,485,97,28,,,,12,,,10,,,,,,,,,,,1738.24,543.0,485.0,97.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""12"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""10"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""28"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\blade.html
Boothill Best Build Guide | Honkai: Star Rail,boothill,5,Physical,Hunt,1203,620,436,107,10,18,,,,,37.3,,,,,,,,,,,,1323.3,731.6,436.0,107.0,"{""minor_atk_pct"": ""18"", ""minor_break_effect_pct"": ""37.3"", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\boothill.html
Bronya Best Build Guide | Honkai: Star Rail,bronya,5,Wind,Harmony,1241,582,533,99,,,,,,24,,10,,,,,,,,22.4,,,1241.0,582.0,533.0,99.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": ""24"", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""10"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": ""22.4""}",file://D:\backup\zero cycling\html\html_pages\bronya.html
Castorice Best Build Guide | Honkai: Star Rail,castorice,5,Quantum,Remembrance,1631,523,485,95,,,,,18.7,13.3,,,,,,,,,,,14.4,,1631.0,523.0,485.0,95.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": ""13.3"", ""minor_crit_rate_pct"": ""18.7"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": ""14.4"", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\castorice.html
Cerydra Best Build Guide | Honkai: Star Rail,cerydra,5,Wind,Harmony,1358,620,485,99,10,18,,,,,,,,,,,,,,22.4,,,1493.8,731.6,485.0,99.0,"{""minor_atk_pct"": ""18"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": ""22.4""}",file://D:\backup\zero cycling\html\html_pages\cerydra.html
Cipher Best Build Guide | Honkai: Star Rail,cipher,5,Quantum,Nihility,931,640,509,106,,,,14,,,,,10,,,,,,,,14.4,,931.0,640.0,509.0,120.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": ""10"", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": ""14.4"", ""minor_spd"": ""14"", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\cipher.html
Clara Best Build Guide | Honkai: Star Rail,clara,5,Physical,Destruction,1319,737,485,90,10,28,,,,,,,,,,14.4,,,,,,,1450.9,943.36,485.0,90.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": ""14.4"", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\clara.html
Cyrene Best Build Guide | Honkai: Star Rail,cyrene,5,Ice,Remembrance,1396,446,582,101,10,,,9,,37.3,,,,,,,,,,,,,1535.6,446.0,582.0,110.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": ""37.3"", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""10"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": ""9"", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\cyrene.html
Dan Heng • Permansor Terrae Best Build Guide | Honkai: Star Rail,dan-heng-permansor-terrae,5,Physical,Preservation,1047,582,776,97,,28,22.5,5,,,,,,,,,,,,,,,1047.0,744.96,950.6,102.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": ""22.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": ""5"", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\dan-heng-permansor-terrae.html
Dan Heng Best Build Guide | Honkai: Star Rail,dan-heng,4,Wind,Hunt,882,546,396,110,,18,12.5,,,,,,,,,,,,,22.4,,,882.0,644.28,445.5,110.0,"{""minor_atk_pct"": ""18"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": ""12.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": ""22.4""}",file://D:\backup\zero cycling\html\html_pages\dan-heng.html
Dr. Ratio Best Build Guide | Honkai: Star Rail,dr-ratio,5,Imaginary,Hunt,1047,776,460,103,,28,12.5,,12,,,,,,,,,,,,,,1047.0,993.28,517.5,103.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""12"", ""minor_def_pct"": ""12.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\dr-ratio.html
Evanescia Best Build Guide | Honkai: Star Rail,evanescia,5,Physical,Elation,1051,737,460,104,,,,5,18.7,,,,,,,,,,,,,,1051.0,737.0,460.0,109.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""18.7"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": ""5"", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\evanescia.html
Feixiao Best Build Guide | Honkai: Star Rail,feixiao,5,Wind,Hunt,1051,601,388,112,,28,12.5,,12,,,,,,,,,,,,,,1051.0,769.28,436.5,112.0,"{""minor_atk_pct"": ""28"", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""12"", ""minor_def_pct"": ""12.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": """", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\feixiao.html
Firefly Best Build Guide | Honkai: Star Rail,firefly,5,Fire,Destruction,814,523,776,104,,,,5,,,37.3,18,,,,,,,,,,,814.0,523.0,776.0,109.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": ""37.3"", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""18"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": ""5"", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\firefly.html
Fu Xuan Best Build Guide | Honkai: Star Rail,fu-xuan,5,Quantum,Preservation,1474,465,606,100,18,,,,18.7,,,10,,,,,,,,,,,1739.32,465.0,606.0,100.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": ""18.7"", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""10"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""18"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\fu-xuan.html
Gallagher Best Build Guide | Honkai: Star Rail,gallagher,4,Fire,Abundance,1305,529,441,98,18,,,,,,13.3,28,,,,,,,,,,,1539.9,529.0,441.0,98.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": ""13.3"", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": """", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""28"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": ""18"", ""minor_ice_dmg_pct"": """", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\gallagher.html
Gepard Best Build Guide | Honkai: Star Rail,gepard,5,Ice,Preservation,1397,543,654,92,,,12.5,,,,,18,,,,,,22.4,,,,,1397.0,543.0,735.75,92.0,"{""minor_atk_pct"": """", ""minor_break_effect_pct"": """", ""minor_crit_dmg_pct"": """", ""minor_crit_rate_pct"": """", ""minor_def_pct"": ""12.5"", ""minor_effect_hit_rate_pct"": """", ""minor_effect_res_pct"": ""18"", ""minor_energy_regen_pct"": """", ""minor_fire_dmg_pct"": """", ""minor_hp_pct"": """", ""minor_ice_dmg_pct"": ""22.4"", ""minor_imaginary_dmg_pct"": """", ""minor_lightning_dmg_pct"": """", ""minor_outgoing_healing_pct"": """", ""minor_physical_dmg_pct"": """", ""minor_quantum_dmg_pct"": """", ""minor_spd"": """", ""minor_wind_dmg_pct"": """"}",file://D:\backup\zero cycling\html\html_pages\gepard.html
