character,slug,trace_type,trace_name,description
Arlan Best Build Guide | Honkai: Star Rail,arlan,A2,Major trace,"Revival If the current HP percentage is 30% or lower when defeating an enemy, immediately restores HP equal to 20% of Max HP."
Arlan Best Build Guide | Honkai: Star Rail,arlan,A4,Major trace,Endurance The chance to resist DoT Debuffs increases by 50% .
Arlan Best Build Guide | Honkai: Star Rail,arlan,A6,Major trace,"Repel Upon entering battle, if Arlan's HP is less than or equal to 50%, he can nullify all DMG received except for DoT until after he is attacked."
Ashveil Best Build Guide | Honkai: Star Rail,ashveil,A2,Major trace,"Damnation Trail When Ashveil uses Skill/Ultimate, gains 1/2 stacks of Gluttony. During Ashveil's Follow-Up ATK, for every 1 enemy(ies) suffer a killing blow, Ashveil gains 1 stack(s) of Gluttony."
Ashveil Best Build Guide | Honkai: Star Rail,ashveil,A4,Major trace,"Phantom Limb DMG dealt by Ashveil's Follow-Up ATK increases by 80% . And for every 1 stack(s) of Gluttony in possession, DMG dealt by Follow-Up ATK additionally increases by 10% ."
Ashveil Best Build Guide | Honkai: Star Rail,ashveil,A6,Major trace,"First Fang While Ashveil is on the field, CRIT DMG dealt by ally targets increases by 40% , and CRIT DMG dealt by ally target's Follow-Up ATK additionally increases by 80% ."
Asta Best Build Guide | Honkai: Star Rail,asta,A2,Major trace,"Sparks Asta's Basic ATK has a 80% base chance to Burn enemies for 3 turn(s), making the enemy take Fire DoT equal to 50% of Asta's Basic ATK DMG at the start of each turn."
Asta Best Build Guide | Honkai: Star Rail,asta,A4,Major trace,"Ignite When Asta is on the field, all allies' Fire DMG increases by 18% ."
Asta Best Build Guide | Honkai: Star Rail,asta,A6,Major trace,Constellation Asta's DEF increases by 6% for every current Charging stack she possesses.
Aventurine Best Build Guide | Honkai: Star Rail,aventurine,A2,Major trace,"Leverage For every 100 of Aventurine's DEF that exceeds 1600 , increases his own CRIT Rate by 2% , up to a maximum increase of 48% ."
Aventurine Best Build Guide | Honkai: Star Rail,aventurine,A4,Major trace,"Hot Hand When battle starts, grants all allies a Fortified Wager shield, whose Shield effect is equal to 100% of the one provided by the Skill, lasting for 3 turn(s)."
Aventurine Best Build Guide | Honkai: Star Rail,aventurine,A6,Major trace,"Bingo! After an ally with Fortified Wager launches a follow-up attack, Aventurine accumulates 1 Blind Bet point. This effect can trigger up to 3 time(s). And its trigger count resets at the start of Aventurine's turn. After Aventurine launches his Talent's follow-up attack, provides all allies with a Fortified Wager that can block DMG equal to 7.2% of Aventurine's DEF plus 96 , and additionally grants a Fortified Wager that can block DMG equal to 7.2% of Aventurine's DEF plus 96 to the ally with the lowest Shield effect, lasting for 3 turns."
Bailu Best Build Guide | Honkai: Star Rail,bailu,A2,Major trace,"Qihuang Analects When Bailu heals a target ally above their normal Max HP, the target's Max HP increases by 10% for 2 turns."
Bailu Best Build Guide | Honkai: Star Rail,bailu,A4,Major trace,Vidyadhara Ichor Lines Invigoration can trigger 1 more time(s).
Bailu Best Build Guide | Honkai: Star Rail,bailu,A6,Major trace,Aquatic Benediction Characters with Invigoration receive 10% less DMG.
Black Swan Best Build Guide | Honkai: Star Rail,black-swan,A2,Major trace,"Viscera's Disquiet When an enemy target gets attacked by Black Swan, there is a 65% base chance of inflicting 5 stack(s) of Arcana on them."
Black Swan Best Build Guide | Honkai: Star Rail,black-swan,A4,Major trace,"Goblet's Dredges When an enemy targets enters combat, there is a 65% base chance for it to be inflicted with 1 stack of Arcana, and a 100% base chance to be inflicted with the DEF reduction effect from the Skill, which lasts for 3 turn(s). After using Basic ATK or Ultimate, there is also a 100% base chance to inflict the DEF reduction effect from the Skill on the hit enemy targets, which lasts for 3 turn(s)."
Black Swan Best Build Guide | Honkai: Star Rail,black-swan,A6,Major trace,"Candleflame's Portent Increases the DMG dealt by all allies by an amount equal to 60% of Black Swan's Effect Hit Rate, up to a maximum DMG increase of 72% ."
Mortenax Blade Best Build Guide | Honkai: Star Rail,blade-mortenax,A2,Major trace,"Bone, Hardened ad Nauseam Mortenax Blade can accumulate up to 80 Energy overflow. After using Ultimate, the Energy overflow is cleared and a corresponding amount of Energy is regenerated. When the battle starts or when the Zone is dispelled, if Energy is below 75% , it is immediately regenerated to 75% ."
Mortenax Blade Best Build Guide | Honkai: Star Rail,blade-mortenax,A4,Major trace,"Soul, Tempered ad Mortem While the Zone is active, increases the chance of being attacked by enemies, decreases DMG taken by this unit by 50% , and increases Incoming Healing by 50% . After being attacked, inflicts the ""Balefire Bind"" state on the attacker, and Mortenax Blade gains 1 Charge."
Mortenax Blade Best Build Guide | Honkai: Star Rail,blade-mortenax,A6,Major trace,"Heart, Refined ad Infinitum While the Zone is active, DMG dealt by ally targets increases by 50% . If there are other Nihility characters aside from Mortenax Blade in the ally team, Ultimate DMG dealt by ally targets increases by 75% . Otherwise, DMG dealt by Mortenax Blade additionally increases by 75% ."
Blade Best Build Guide | Honkai: Star Rail,blade,A2,Major trace,"Vita Infinita When Blade uses Ultimate, the total accumulated HP loss will be set to 50% ."
Blade Best Build Guide | Honkai: Star Rail,blade,A4,Major trace,"Neverending Deaths HP restored from healing increases by 20% . After receiving healing, 25% of the healed amount will be converted to Ultimate's tally of HP lost."
Blade Best Build Guide | Honkai: Star Rail,blade,A6,Major trace,Cyclone of Destruction The Talent-triggered Follow-up ATK deals 20% more DMG and additionally regenerates 15 Energy.
Boothill Best Build Guide | Honkai: Star Rail,boothill,A2,Major trace,"Ghost Load Increase this character's CRIT Rate/CRIT DMG, by an amount equal to 10%/50% of Break Effect, up to a max increase of 30%/150% ."
Boothill Best Build Guide | Honkai: Star Rail,boothill,A4,Major trace,"Above Snakes While Boothill is in the Standoff, reduces the DMG he receives from targets that are not in the Standoff by 30% ."
Boothill Best Build Guide | Honkai: Star Rail,boothill,A6,Major trace,"Point Blank When in Standoff and gaining Pocket Trickshot, regenerates 10 Energy. Can also trigger this effect when gaining Pocket Trickshot stacks that exceed the max limit"
Bronya Best Build Guide | Honkai: Star Rail,bronya,A2,Major trace,Command The CRIT Rate for Basic ATK increases to 100% .
Bronya Best Build Guide | Honkai: Star Rail,bronya,A4,Major trace,"Battlefield At the start of the battle, all allies' DEF increases by 20% for 2 turn(s)."
Bronya Best Build Guide | Honkai: Star Rail,bronya,A6,Major trace,"Military Might When Bronya is on the field, all allies deal 10% more DMG."
Castorice Best Build Guide | Honkai: Star Rail,castorice,A2,Major trace,"Contained Dark Tide After ally targets (excluding Netherwing) receive healing, converts 100% of healed value into ""Newbud."" If Netherwing is on the battlefield, the healing is instead converted into Netherwing's HP. The converted value for each ally target cannot exceed 12% of ""Newbud""'s maximum limit. The accumulated conversion value from all units resets after any unit takes action."
Castorice Best Build Guide | Honkai: Star Rail,castorice,A4,Major trace,"Inverted Torch When Castorice's current HP is greater or equal to 50% of this unit's Max HP, her SPD increases by 40% . When Netherwing uses Breath Scorches the Shadow and deals fatal damage to all enemies on the field or brings them to a point where they cannot lose more HP, Netherwing's SPD increases by 100% for 1 turn."
Castorice Best Build Guide | Honkai: Star Rail,castorice,A6,Major trace,"Where The West Wind Dwells Each time Netherwing uses Breath Scorches the Shadow, increases its DMG dealt by 30% . This effect stacks up to 6 and lasts until the end of this turn."
Cerydra Best Build Guide | Honkai: Star Rail,cerydra,A2,Major trace,"Veni For every 100 of Cerydra's ATK that exceeds 2000, increases her CRIT DMG by 18% , up to a max increase of 360% ."
Cerydra Best Build Guide | Honkai: Star Rail,cerydra,A4,Major trace,"Vidi Increases Cerydra's CRIT Rate by 100% . While Cerydra's Charge is below its maximum, the character with ""Military Merit"" using their Ultimate grants Cerydra 1 Charge. This effect can trigger once per battle."
Cerydra Best Build Guide | Honkai: Star Rail,cerydra,A6,Major trace,"Vici When using Skill, increases SPD by 20 for this unit and the teammate with ""Military Merit,"" lasting for 3 turn(s). When the character with ""Military Merit"" uses Basic ATK or Skill, regenerates 5 Energy for Cerydra."
Cipher Best Build Guide | Honkai: Star Rail,cipher,A2,Major trace,"Empyrean Strides When Cipher's SPD is higher than or equal to 140/170 , CRIT Rate increases by 25%/50% , and the gained tally increases by 50%/100% ."
Cipher Best Build Guide | Honkai: Star Rail,cipher,A4,Major trace,"300 Rogues Cipher can tally 8% of the non-True DMG ally targets dealt to the enemy targets other than the ""Patron."" Overflow DMG is not tallied."
Cipher Best Build Guide | Honkai: Star Rail,cipher,A6,Major trace,"Sleight of Sky Increases the CRIT DMG dealt by the Talent's Follow-up ATK by 100% . When Cipher is on the battlefield, DMG received by all enemy targets increases by 40% ."
Clara Best Build Guide | Honkai: Star Rail,clara,A2,Major trace,"Kinship When attacked, this character has a 35% fixed chance to remove a debuff placed on them."
Clara Best Build Guide | Honkai: Star Rail,clara,A4,Major trace,Under Protection The chance to resist Crowd Control Debuffs increases by 35% .
Clara Best Build Guide | Honkai: Star Rail,clara,A6,Major trace,Revenge Increase Svarog's Counter DMG by 30% .
Cyrene Best Build Guide | Honkai: Star Rail,cyrene,A2,Major trace,"Child of Remembrance When a teammate's memosprite is summoned, it gains ‘Future.’ ‘Future’ held by memosprites cannot be consumed."
Cyrene Best Build Guide | Honkai: Star Rail,cyrene,A4,Major trace,"Ripples Across Time When there are 1/2/3 Chrysos Heir(s) or Remembrance Path character(s) aside from Cyrene in the team, Cyrene gains 2/3/6 ‘Recollection’ point(s) at the start of combat."
Cyrene Best Build Guide | Honkai: Star Rail,cyrene,A6,Major trace,"Causality in Trichotomy When Cyrene's SPD is at 180 or higher, increases all allies' DMG dealt by 20% . Then, for each point of SPD exceeded, increases Cyrene and ███'s Ice RES PEN by 2% , counting up to a maximum of 60 exceeded SPD points."
Dan Heng • Permansor Terrae Best Build Guide | Honkai: Star Rail,dan-heng-permansor-terrae,A2,Major trace,"Empyreanity When using Skill, increases ATK for the target who has become 'Bondmate' by an amount equal to 15% of Dan Heng • Permansor Terrae's ATK."
Dan Heng • Permansor Terrae Best Build Guide | Honkai: Star Rail,dan-heng-permansor-terrae,A4,Major trace,"Sylvanity When combat starts, Dan Heng • Permansor Terrae advances action by 40% . When the 'Bondmate' uses an attack, Dan Heng • Permansor Terrae regenerates 6 Energy and 'Souldragon' advances action by 15% ."
Dan Heng • Permansor Terrae Best Build Guide | Honkai: Star Rail,dan-heng-permansor-terrae,A6,Major trace,"Sublimity When 'Souldragon' takes action, additionally provides a Shield that can offset DMG equal to 5% of Dan Heng • Permansor Terrae's ATK plus 100 to the ally target whose current Shield Effect is the lowest. When repeatedly receiving Dan Heng • Permansor Terrae's Shield, can stack the Shield Effect, but it will not exceed 300% of the current Shield provided by Skill. When the enhanced 'Souldragon' takes action, additionally deals 1 instance of Additional DMG of the Bondmate's Type to the one enemy target whose current HP is the highest, equal to 40% of the Bondmate's ATK."
Dan Heng Best Build Guide | Honkai: Star Rail,dan-heng,A2,Major trace,"Hidden Dragon When current HP percentage is 50% or lower, reduces the chance of being attacked by enemies."
Dan Heng Best Build Guide | Honkai: Star Rail,dan-heng,A4,Major trace,"Faster Than Light After launching an attack, there is a 50% fixed chance to increase own SPD by 20% for 2 turn(s)."
Dan Heng Best Build Guide | Honkai: Star Rail,dan-heng,A6,Major trace,High Gale Basic ATK deals 40% more damage to Slowed enemies.
Dr. Ratio Best Build Guide | Honkai: Star Rail,dr-ratio,A2,Major trace,"Summation When Dr. Ratio uses his Skill, for every debuff on the target, his CRIT Rate increases by 2.5% and CRIT DMG by 5% . This effect can stack up to 6 time(s)."
Dr. Ratio Best Build Guide | Honkai: Star Rail,dr-ratio,A4,Major trace,"Inference When Skill is used to attack an enemy target, there is a 100% base chance to reduce the attacked target's Effect RES by 10% for 2 turn(s)."
Dr. Ratio Best Build Guide | Honkai: Star Rail,dr-ratio,A6,Major trace,"Deduction When dealing DMG to a target that has 3 or more debuff(s), for each debuff the target has, the DMG dealt by Dr. Ratio to this target increases by 10% , up to a maximum increase of 50% ."
Evanescia Best Build Guide | Honkai: Star Rail,evanescia,A2,Major trace,"Watch All Revels Increases Evanescia's CRIT Rate by 30% . When there are (≥3)/2/1 enemy target(s) on the field, the Ultimate's bounce count increases by 1/2/4 . When a teammate with an Elation Skill Participant ID lower than Evanescia's gains ‘Certified Banger,’ Evanescia converts 50% of it into her own ‘Certified Banger.’"
Evanescia Best Build Guide | Honkai: Star Rail,evanescia,A4,Major trace,"Weigh All Truths When ‘Master Fox’ uses an attack, it additionally inflicts Vulnerability on the target, increasing the DMG they take by 12% for 3 turn(s)."
Evanescia Best Build Guide | Honkai: Star Rail,evanescia,A6,Major trace,"Best All Blooms When a teammate's ‘Certified Banger’ ends, Evanescia converts 50% of it into her own ‘Certified Banger’."
Feixiao Best Build Guide | Honkai: Star Rail,feixiao,A2,Major trace,"Heavenpath When the battle starts, gains 3 point(s) of Flying Aureus. At the start of a turn, if no follow-up attack was launched via Talent in the previous turn, then this counts as 1 toward the number of attacks required to gain Flying Aureus."
Feixiao Best Build Guide | Honkai: Star Rail,feixiao,A4,Major trace,"Formshift When using Ultimate to deal DMG to an enemy target, it is considered as a follow-up attack. Follow-up attacks' CRIT DMG increases by 36% ."
Feixiao Best Build Guide | Honkai: Star Rail,feixiao,A6,Major trace,"Boltcatch When using Skill, increases ATK by 48% , lasting for 3 turn(s)."
Firefly Best Build Guide | Honkai: Star Rail,firefly,A2,Major trace,"Module α: Antilag Outburst While in the Complete Combustion state, SAM's Break Effect increases by 25% . When using Enhanced Basic ATK or Enhanced Skill to inflict Weakness Break on a target, the Complete Combustion countdown is delayed by 10% . This effect can trigger a maximum of 3 time(s) during each Complete Combustion state."
Firefly Best Build Guide | Honkai: Star Rail,firefly,A4,Major trace,"Module β: Autoreactive Armor When SAM is in Complete Combustion with a Break Effect that is equal to or greater than 150%/300% , attacking a Weakness-Broken enemy target will convert the Toughness Reduction of this attack into 1 instance of 100%/150% Super Break DMG."
Firefly Best Build Guide | Honkai: Star Rail,firefly,A6,Major trace,"Module γ: Core Overload For every 10 point(s) of SAM's ATK that exceeds 1800 , increases this unit's Break Effect by 0.8% ."
Fu Xuan Best Build Guide | Honkai: Star Rail,fu-xuan,A2,Major trace,"Taiyi, the Macrocosmic When Matrix of Prescience is active, Fu Xuan will regenerate 20 extra Energy when she uses her Skill."
Fu Xuan Best Build Guide | Honkai: Star Rail,fu-xuan,A4,Major trace,"Dunjia, the Metamystic When Fu Xuan's Ultimate is used, heals all other allies by an amount equal to 5% of Fu Xuan's Max HP plus 133 ."
Fu Xuan Best Build Guide | Honkai: Star Rail,fu-xuan,A6,Major trace,"Liuren, the Sexagenary If a target enemy applies Crowd Control debuffs to allies while the Matrix of Prescience is active, all allies will resist all Crowd Control debuffs applied by the enemy target during the current action. This effect can only be triggered once. When Matrix of Prescience is activated again, the number of times this effect can be triggered will reset."
Gallagher Best Build Guide | Honkai: Star Rail,gallagher,A2,Major trace,"Novel Concoction Increases this unit's Outgoing Healing by an amount equal to 50% of Break Effect, up to a maximum Outgoing Healing increase of 75% ."
Gallagher Best Build Guide | Honkai: Star Rail,gallagher,A4,Major trace,"Organic Yeast After using the Ultimate, immediately Advances Forward this unit's Action by 100% ."
Gallagher Best Build Guide | Honkai: Star Rail,gallagher,A6,Major trace,"Bottoms Up When Gallagher uses Nectar Blitz to attack Besotted enemies, the HP Restore effect of his Talent will also apply to other allies for this time."
Gepard Best Build Guide | Honkai: Star Rail,gepard,A2,Major trace,Integrity Gepard has a higher chance to be attacked by enemies.
Gepard Best Build Guide | Honkai: Star Rail,gepard,A4,Major trace,"Commander When Unyielding Will is triggered, Gepard's Energy will be restored to 100% ."
Gepard Best Build Guide | Honkai: Star Rail,gepard,A6,Major trace,Fighting Spirit Gepard's ATK increases by 35% of his current DEF. This effect will refresh at the start of each turn.
Guinaifen Best Build Guide | Honkai: Star Rail,guinaifen,A2,Major trace,"High Poles Basic ATK has a 80% base chance of inflicting an enemy with a Burn, equivalent to that of Skill."
Guinaifen Best Build Guide | Honkai: Star Rail,guinaifen,A4,Major trace,"Bladed Hoop When the battle begins, Guinaifen's action is advanced forward by 25% ."
Guinaifen Best Build Guide | Honkai: Star Rail,guinaifen,A6,Major trace,Walking on Knives Deals 20% more DMG to Burned enemies.
Hanya Best Build Guide | Honkai: Star Rail,hanya,A2,Major trace,Scrivener Allies triggering Burden's Skill Point recovery effect have their ATK increased by 10% for 1 turn(s).
Hanya Best Build Guide | Honkai: Star Rail,hanya,A4,Major trace,"Netherworld If the trigger count for the Burden's Skill Point recovery effect is 1 or lower when an enemy with Burden is defeated, then additionally recovers 1 Skill Point(s)."
Hanya Best Build Guide | Honkai: Star Rail,hanya,A6,Major trace,"Reanimated When Burden's Skill Point recovery effect is triggered, this character regenerates 2 Energy."
Herta Best Build Guide | Honkai: Star Rail,herta,A2,Major trace,"Efficiency When Skill is used, the DMG Boost effect on target enemies increases by an extra 25% ."
Herta Best Build Guide | Honkai: Star Rail,herta,A4,Major trace,Puppet The chance to resist Crowd Control Debuffs increases by 35% .
Herta Best Build Guide | Honkai: Star Rail,herta,A6,Major trace,"Icing When Ultimate is used, deals 20% more DMG to Frozen enemies."
Himeko Best Build Guide | Honkai: Star Rail,himeko,A2,Major trace,"Starfire After using an attack, there is a 50% base chance to inflict Burn on enemies for 2 turn(s). When afflicted with Burn, enemies take Fire DoT equal to 30% of Himeko's ATK at the start of each turn."
Himeko Best Build Guide | Honkai: Star Rail,himeko,A4,Major trace,Magma Skill deals 20% more DMG to enemies currently afflicted with Burn.
Himeko Best Build Guide | Honkai: Star Rail,himeko,A6,Major trace,"Benchmark When current HP percentage is 80% or higher, CRIT Rate increases by 15% ."
Hook Best Build Guide | Honkai: Star Rail,hook,A2,Major trace,Innocence Hook restores HP equal to 5% of her Max HP whenever her Talent is triggered.
Hook Best Build Guide | Honkai: Star Rail,hook,A4,Major trace,Naivete The chance to resist Crowd Control Debuffs increases by 35% .
Hook Best Build Guide | Honkai: Star Rail,hook,A6,Major trace,"Playing With Fire When using her Ultimate, Hook has her action Advanced Forward by 20% and Hook additionally regenerates 5 Energy."
Huohuo Best Build Guide | Honkai: Star Rail,huohuo,A2,Major trace,"Fearful to Act When battle starts, Huohuo gains 30 Energy and Divine Provision, lasting for 2 turn(s)."
Huohuo Best Build Guide | Honkai: Star Rail,huohuo,A4,Major trace,"The Cursed One Increases the chance to resist Crowd Control debuffs by 35% . When using Ultimate, if an ally target's Max Energy is 160 or higher, additionally increases their ATK by 24% ."
Huohuo Best Build Guide | Honkai: Star Rail,huohuo,A6,Major trace,"Stress Reaction to Horror When her Talent is triggered to heal allies, Huohuo regenerates 1 Energy."
Hyacine Best Build Guide | Honkai: Star Rail,hyacine,A2,Major trace,"Gloomy Grin Increases Hyacine and Little Ica's CRIT Rate by 100% . When providing healing to an ally target with less than or equal to 50% this unit's Max HP, increases Hyacine and Little Ica's Outgoing Healing by 25% ."
Hyacine Best Build Guide | Honkai: Star Rail,hyacine,A4,Major trace,"Stormy Caress Increases Hyacine's Effect RES by 50% . When using Skill and Ultimate, dispels 1 debuff(s) from all ally targets."
Hyacine Best Build Guide | Honkai: Star Rail,hyacine,A6,Major trace,"Tempestuous Halt When Hyacine's SPD exceeds 200 , increases her and Little Ica's Max HP by 20% . Then, for every 1 excess SPD, increases Hyacine's and Little Ica's Outgoing Healing by 1% . Up to a max of 200 excess SPD can be taken into account for this effect."
Hysilens Best Build Guide | Honkai: Star Rail,hysilens,A2,Major trace,"The Gladius of Conquest At the start of combat, Hysilens deploys a Zone, equivalent to that provided by her Ultimate, lasting for 3 turn(s). Whenever Hysilens deploys a Zone, she recovers 1 Skill Point(s)."
Hysilens Best Build Guide | Honkai: Star Rail,hysilens,A4,Major trace,"The Bubble of Banquets When Hysilens uses Ultimate, if the enemy target is currently afflicted with DoT(s), all DoTs currently applied on the target will immediately produce DMG equal to 150% of their original DMG."
Hysilens Best Build Guide | Honkai: Star Rail,hysilens,A6,Major trace,"The Fiddle of Pearls For every 10% of Hysilens's Effect Hit Rate that exceeds 60% , increases her DMG dealt by 15% , up to a max increase of 90% ."
Dan Heng • Imbibitor Lunae Best Build Guide | Honkai: Star Rail,imbibitor-lunae,A2,Major trace,"Star Veil At the start of the battle, immediately regenerates 15 Energy."
Dan Heng • Imbibitor Lunae Best Build Guide | Honkai: Star Rail,imbibitor-lunae,A4,Major trace,Aqua Reign Increases the chance to resist Crowd Control debuffs by 35% .
Dan Heng • Imbibitor Lunae Best Build Guide | Honkai: Star Rail,imbibitor-lunae,A6,Major trace,Jolt Anew This character's CRIT DMG increases by 24% when dealing DMG to enemy targets with Imaginary Weakness.
Jade Best Build Guide | Honkai: Star Rail,jade,A2,Major trace,"Reverse Repo When enemy targets enter combat, Jade gains 1 stack(s) of Pawned Asset. When a Debt Collector ally's turn starts, Jade additionally gains 3 stack(s) of Pawned Asset."
Jade Best Build Guide | Honkai: Star Rail,jade,A4,Major trace,"Collateral Ticket When the battle starts, Jade's action is advanced forward by 50% ."
Jade Best Build Guide | Honkai: Star Rail,jade,A6,Major trace,Asset Forfeiture Each stack of the Talent's Pawned Asset additionally increases Jade's ATK by 0.5% .
Jiaoqiu Best Build Guide | Honkai: Star Rail,jiaoqiu,A2,Major trace,"Pyre Cleanse When battle starts, immediately regenerates 15 Energy."
Jiaoqiu Best Build Guide | Honkai: Star Rail,jiaoqiu,A4,Major trace,"Hearth Kindle For every 15% of Jiaoqiu's Effect Hit Rate that exceeds 80%, additionally increases ATK by 60% , up to 240% ."
Jiaoqiu Best Build Guide | Honkai: Star Rail,jiaoqiu,A6,Major trace,"Seared Scent While the Zone exists, enemies entering combat will be inflicted with Ashen Roast. The number of stacks applied will match the highest number of Ashen Roast stacks possessed by any unit while the Zone is active, with a minimum of 1 stack(s)."
Jing Yuan Best Build Guide | Honkai: Star Rail,jing-yuan,A2,Major trace,"Battalia Crush If the Lightning-Lord's Hits Per Action is greater or equal to 6 in the next turn, its CRIT DMG increases by 25% for the next turn."
Jing Yuan Best Build Guide | Honkai: Star Rail,jing-yuan,A4,Major trace,"Savant Providence At the start of the battle, immediately regenerates 15 Energy ."
Jing Yuan Best Build Guide | Honkai: Star Rail,jing-yuan,A6,Major trace,"War Marshal After using Skill, CRIT Rate increases by 10% for 2 turn(s)."
Jingliu Best Build Guide | Honkai: Star Rail,jingliu,A2,Major trace,"Deathrealm While in the Spectral Transmigration state, Effect RES increases by 35% , and Ultimate DMG dealt increases by 20% ."
Jingliu Best Build Guide | Honkai: Star Rail,jingliu,A4,Major trace,"Sword Champion After using Transcendent Flash, regenerate an additional 15 Energy, and after using Moon On Glacial River, regenerate an additional 8 Energy."
Jingliu Best Build Guide | Honkai: Star Rail,jingliu,A6,Major trace,"Frost Wraith When obtaining Syzygy at max stacks, Jingliu's next attack ignores 25% of the target's DEF."
Kafka Best Build Guide | Honkai: Star Rail,kafka,A2,Major trace,"Torture When an ally target's Effect Hit Rate is 75% or more, Kafka increases the target's ATK by 100% ."
Kafka Best Build Guide | Honkai: Star Rail,kafka,A4,Major trace,"Plunder If an enemy is defeated while Shocked, Kafka additionally regenerates 5 Energy."
Kafka Best Build Guide | Honkai: Star Rail,kafka,A6,Major trace,"Thorns After using Ultimate, the Talent's Follow-up ATK can be triggered 1 time and the Follow-up ATK can cause all DoTs debuffs the target is currently under to immediately produce DMG equal to 80% of the original DMG."
Lingsha Best Build Guide | Honkai: Star Rail,lingsha,A2,Major trace,"Vermilion Waft Increases this unit's ATK or Outgoing Healing by an amount equal to 25%/10% of Break Effect, up to a maximum increase of 50%/20% respectively."
Lingsha Best Build Guide | Honkai: Star Rail,lingsha,A4,Major trace,"Sylvan Smoke When using Basic ATK, additionally regenerates 10 Energy."
Lingsha Best Build Guide | Honkai: Star Rail,lingsha,A6,Major trace,"Ember's Echo When Fuyuan is on the field and any ally character takes DMG or consumes HP, if a character in the team has their current HP percentage lower than or equal to 60% , Fuyuan will immediately launch the Talent's follow-up attack. This does not consume Fuyuan's action count. This effect can trigger again after 2 turn(s)."
Luka Best Build Guide | Honkai: Star Rail,luka,A2,Major trace,"Kinetic Overload When the Skill is used, immediately dispels 1 buff from the enemy target."
Luka Best Build Guide | Honkai: Star Rail,luka,A4,Major trace,"Cycle Braking For every stack of Fighting Will obtained, additionally regenerates 3 Energy."
Luka Best Build Guide | Honkai: Star Rail,luka,A6,Major trace,"Crush Fighting Will When using Enhanced Basic ATK, every hit Direct Punch deals has a 50% fixed chance for Luka to use 1 additional hit. This effect does not apply to additional hits generated in this way."
