name,slug,rarity,path,hp,atk,def,effect_description
Dreamville Adventure,dreamville-adventure,4,Harmony,953,423,397,"After the wearer uses a Basic ATK, Skill, or Ultimate, all allies gain Childishness, which increases the DMG dealt by the corresponding ability they used by 12/14/16/18/20% . Childishness only takes effect with the most recent ability used by the wearer and cannot be stacked."
Earthly Escapade,earthly-escapade,5,Harmony,1164,529,463,"Increases the wearer's CRIT DMG by 32/39/46/52/60% . At the start of the battle, the wearer gains Mask, lasting for 3 turn(s). While the wearer has Mask, the wearer's allies have their CRIT Rate increased by 10/11/12/13/14% and their CRIT DMG increased by 28/35/42/49/56% . For every 1 Skill Point the wearer recovers (including Skill Points that exceed the limit), they gain 1 stack of Radiant Flame. And when the wearer has 4 stacks of Radiant Flame, all the stacks are removed, and they gain Mask, lasting for 4 turn(s)."
Echoes of the Coffin,echoes-of-the-coffin,5,Abundance,1164,582,396,"Increases the wearer's ATK by 24 /28/32/36/40 % . After the wearer uses an attack, for each different enemy target the wearer hits, regenerates 3 /3.5/4/4.5/5 Energy. Each attack can regenerate Energy up to 3 time(s) this way. After the wearer uses their Ultimate, all allies gain 12 /14/16/18/20 SPD for 1 turn."
Elation Brimming With Blessings,elation-brimming-with-blessings,5,Elation,953,529,463,"Increases the wearer's ATK by 20/25/30/35/40% . After the wearer uses Skill or Ultimate on one ally character, increases the target's Elation stat by 12/15/18/21/24% for 2 turn(s)."
Epoch Etched in Golden Blood,epoch-etched-in-golden-blood,5,Harmony,953,635,463,"Increases the wearer's ATK by 64/80/96/112/128% . After using Ultimate to attack, recovers 1 Skill Point(s). After the wearer uses their Skill on one ally character, increases the Skill DMG dealt by the target by 54/67.5/81/94.5/108% for 3 turn(s)."
Eternal Calculus,eternal-calculus,5,Erudition,1058,529,396,"Increases the wearer's ATK by 8/9/10/11/12% . After using an attack, for each enemy target hit, additionally increases ATK by 4/5/6/7/8% . This effect can stack 5 times and lasts until the next attack. If there are 3 or more enemy targets hit, this unit's SPD increases by 8/10/12/14/16% , lasting for 1 turn(s)."
Eyes of the Prey,eyes-of-the-prey,4,Nihility,952,476,330,Increases Effect Hit Rate of its wearer by 20 /25/30/35/40 % and increases DoT by 24 /30/36/42/48 % .
Fermata,fermata,4,Nihility,952,476,330,"Increases the wearer's Break Effect by 16/20/24/28/32% , and increases their DMG to enemies afflicted with Shock or Wind Shear by 16/20/24/28/32% . This also applies to DoT."
Final Victor,final-victor,4,Hunt,952,476,330,"Increases the wearer's ATK by 12/14/16/18/20% . When the wearer lands a CRIT hit on enemies, they will gain a stack of Good Fortune. This effect can be stacked 4 time(s). Every stack of Good Fortune the wearer has will increase their CRIT DMG by 8/9/10/11/12% . Good Fortune will be removed at the end of the wearer's turn."
Fine Fruit,fine-fruit,3,Abundance,952,317,198,"At the beginning of battle, immediately regenerates 6/8/9/11/12 Energy for all allies."
"Flame of Blood, Blaze My Path",flame-of-blood-blaze-my-path,5,Destruction,1375,476,396,"Increases the wearer's Max HP by 18/21/24/27/30% and Incoming Healing by 20/25/30/35/40% . When using Skill or Ultimate, consumes HP equal to 6/6.5/7/7.5/8% of the wearer's Max HP and increases the DMG dealt by this attack by 30/35/40/45/50% . If this effect's consumed HP is greater than 500, the DMG additionally increases by 30/35/40/45/50% . If the current HP is not sufficient, this effect reduces the wearer's current HP down to 1."
Flames Afar,flames-afar,4,Destruction,1058,476,265,"When the HP lost by the wearer during a single attack exceeds 25% of their Max HP, or if the HP they consume is greater than 25% of their Max HP, then immediately heals them for 15% of their Max HP while also increasing the DMG they deal by 25/31/38/44/50% for 2 turn(s). This effect can only be triggered once every 3 turn(s)."
Flickering Stars,flickering-stars,5,Erudition,847,635,529,"Increases the wearer's CRIT Rate by 18/21/24/27/30% . When any ally character consumes a total of 4 or more Skill Points in a single turn, the wearer gains ""Radiant Crown,"" lasting for 3 turn(s). While the wearer holds ""Radiant Crown,"" all allies' DMG dealt ignores 20/23/26/29/32% of the target's DEF, and the Skill DMG dealt by the wearer increases by 72/84/96/108/120% . Effects of the same type cannot stack."
Flowing Nightglow,flowing-nightglow,5,Harmony,953,635,463,"Every time any ally attacks, the wearer gains 1 stack of Cantillation. Each stack of Cantillation increases the wearer's Energy Regeneration Rate by 3/3.5/4/4.5/5% , stacking up to 5 times. When the wearer uses their Ultimate, removes Cantillation and gains Cadenza. Cadenza increases the Wearer's ATK by 48/60/72/84/96% and all allies' DMG dealt by 24/28/32/36/40% , lasting for 1 turn(s)."
Fly Into a Pink Tomorrow,fly-into-a-pink-tomorrow,4,Remembrance,847,476,397,"Increases the wearer's CRIT DMG by 12/15/18/21/24% . When equipped by Trailblazer (Remembrance), increases all ally targets' DMG dealt by 8/10/12/14/16% and DMG dealt by Enhanced Basic ATK ""Together, We Script Tomorrow!"" by 60/70/80/90/100% ."
For Tomorrow's Journey,for-tomorrow-s-journey,4,Harmony,953,476,331,"Increases the wearer's ATK by 16/20/24/28/32% . After the wearer uses their Ultimate, increases their DMG dealt by 18/21/24/27/30% , lasting for 1 turn."
Geniuses' Greetings,geniuses-greetings,4,Remembrance,952,476,330,"Increases the wearer's ATK by 16/20/24/28/32% . After the wearer uses their Ultimate, additionally increases the wearer and their memosprite's Basic ATK DMG dealt by 20/25/30/35/40% for 3 turn(s)."
Geniuses' Repose,geniuses-repose,4,Erudition,846,476,396,"Increases the wearer's ATK by 16 /20/24/28/32 % . When the wearer defeats an enemy, the wearer's CRIT DMG increases by 24 /30/36/42/48 % for 3 turn(s)."
Good Night and Sleep Well,good-night-and-sleep-well,4,Nihility,952,476,330,"For every debuff the target enemy has, the DMG dealt by the wearer increases by 12 /15/18/21/24 % , stacking up to 3 time(s). This effect also applies to DoT."
"Hey, Over Here",hey-over-here,4,Abundance,952,423,396,"Increases the wearer's Max HP by 8/9/10/11/12% . When the wearer uses Skill, increases Outgoing Healing by 16/19/22/25/28% , lasting for 2 turn(s)."
Hidden Shadow,hidden-shadow,3,Nihility,846,317,264,"After using Skill, the wearer's next Basic ATK deals Additional DMG equal to 60 / 75 /90/105/120 % of ATK to the target enemy."
Holiday Thermae Escapade,holiday-thermae-escapade,4,Nihility,1058,529,331,"Increases the wearer's DMG dealt by 16/20/24/28/32% . After the wearer attacks, there is a 100% base chance that the attacked target is inflicted with Vulnerability, increasing the DMG they receive by 10/11/13/14/16% for 2 turn(s). The same effect type cannot be stacked."
I Am As You Behold,i-am-as-you-behold,5,Destruction,953,635,463,"Increases the wearer's ATK by 18/21/24/27/30% and Energy Regeneration Rate by 10/12.5/15/17.5/20% . When the wearer uses Ultimate, for every 1 Energy consumed, increases the Ultimate DMG dealt this time by 0.2/0.25/0.3/0.35/0.4% , up to a max increase of 72/90/108/126/144% . When the wearer enters combat or uses Ultimate, the wearer gains ""King's Entertainment,"" lasting for 3 turn(s). While the wearer holds ""King's Entertainment,"" increases all allies' CRIT DMG by 24/30/36/42/48% . Effects of the same type cannot stack."
I Shall Be My Own Sword,i-shall-be-my-own-sword,5,Destruction,1164,582,396,"Increases the wearer's CRIT DMG by 20/23/26/29/32% . When an ally gets attacked or loses HP, the wearer gains 1 stack of Eclipse, up to a max of 3 stack(s). Each stack of Eclipse increases the DMG of the wearer's next attack by 14/16.5/19/21.5/24% . When 3 stack(s) are reached, additionally enables the attack to ignore 12/14/16/18/20% of the enemy's DEF. This effect will be removed after the wearer uses an attack."
I Venture Forth to Hunt,i-venture-forth-to-hunt,5,Hunt,952,635,463,"Increases the wearer's CRIT Rate by 15/17.5/20 / 22.5 / 25% . When the wearer launches a follow-up attack, gains 1 stack of ""Luminflux,"" to a max of 2 stacks. Each stack of ""Luminflux"" enables the Ultimate DMG dealt by the wearer to ignore 27 / 30 / 33 / 36 / 39% of the target's DEF. When the wearer's turn ends, removes 1 stack of ""Luminflux."""
If Time Were a Flower,if-time-were-a-flower,5,Harmony,1270,529,397,"Increases the wearer's CRIT DMG by 36/42/48/54/60% . After the wearer launches a Follow-up ATK, additionally regenerates 12 Energy and gains ""Presage,"" lasting for 2 turn(s). While the wearer has ""Presage,"" all ally targets' CRIT DMG increases by 48/60/72/84/96% . When entering battle, the wearer regenerates 21 Energy and gains ""Presage,"" lasting for 2 turn(s)."
In Pursuit of the Wind,in-pursuit-of-the-wind,4,Harmony,1058,476,397,"After entering battle, increases all allies' Break DMG dealt by 16/18/20/22/24% . Abilities of the same type cannot stack."
In the Name of the World,in-the-name-of-the-world,5,Nihility,1058,582,463,"Increases the wearer's DMG to debuffed enemies by 24/28/32/36/40% . When the wearer uses their Skill, the Effect Hit Rate for this attack increases by 18/21/24 /27/30 % , and ATK increases by 24/28/32/36/40% ."
In the Night,in-the-night,5,Hunt,1058,582,463,"Increases the wearer's CRIT Rate by 18 /21/24/27/30 % . While the wearer is in battle, for every 10 SPD that exceeds 100, the DMG of the wearer's Basic ATK and Skill is increased by 6 /7/8/9/10 % and the CRIT DMG of their Ultimate is increased by 12 /14/16/18/20 % . This effect can stack up to 6 time(s)."
Incessant Rain,incessant-rain,5,Nihility,1058,582,463,"Increases the wearer's Effect Hit Rate by 24/28/32/36/40% . When the wearer deals DMG to an enemy with 3 or more debuffs, increases CRIT Rate by 12/14/16/18/20% . After the wearer uses their Basic ATK, Skill, or Ultimate, there is a 100% base chance to implant Aether Code on a random hit target that does not have it yet. Targets with Aether Code receive 12/14/16/18/20% increased DMG for 1 turn."
Indelible Promise,indelible-promise,4,Destruction,953,476,331,"Increases the wearer's Break Effect by 28/35/42/49/56% . When the wearer uses their Ultimate, increases CRIT Rate by 15/18.75/22.5/26.25/30% , lasting for 2 turns."
Inherently Unjust Destiny,inherently-unjust-destiny,5,Preservation,1058,423,661,"Increases the wearer's DEF by 40/46/52/58/64% . When the wearer provides a Shield to an ally, the wearer's CRIT DMG increases by 40/46/52/58/64% , lasting for 2 turn(s). When the wearer's follow-up attack hits an enemy target, there is a 100/115/130/145/160% base chance to increase the DMG taken by the attacked enemy target by 10/11.5/13/14.5/16% , lasting for 2 turn(s)."
Into the Unreachable Veil,into-the-unreachable-veil,5,Erudition,953,635,463,"Increases the wearer's CRIT Rate by 12/14/16/18/20% . When the wearer uses their Ultimate, increases DMG dealt by the wearer's Skill and Ultimate by 60/70/80/90/100% , lasting for 3 turn(s). After the wearer uses their Ultimate, if this Ultimate consumed 140 or more Energy, recovers 1 Skill Point."
It's Showtime,it-s-showtime,4,Nihility,1058,476,265,"When the wearer inflicts a debuff on an enemy, they gain a stack of Trick. Every stack of Trick increases the wearer's DMG dealt by 6/7/8/9/10% for a max of 3 stack(s). This effect lasts for 1 turn(s). When the wearer's Effect Hit Rate is greater than or equal to 80%, increases ATK by 20/24/28/32/36% ."
"Journey, Forever Peaceful",journey-forever-peaceful,4,Preservation,1058,370,529,"Increases the wearer's provided Shield Effect by 12/15/18/21/24% . When an ally target has a Shield, the DMG dealt increases by 12/14/16/18/20% ."
Landau's Choice,landau-s-choice,4,Preservation,952,423,396,"The wearer is more likely to be attacked, but DMG taken is reduced by 16 /18/20/22/24 % ."
Lies Dance on the Breeze,lies-dance-on-the-breeze,5,Nihility,953,582,529,"Increases the wearer's SPD by 18/21/24/27/30% . After the wearer uses an attack, there is a 120% base chance to inflict the ""Bamboozle"" state on every enemy target. While under the ""Bamboozle"" state, enemy targets have their DEF decreased by 16/18/20/22/24% for 2 turn(s). If the wearer's SPD is higher than or equal to 170 , there is a 120% base chance to inflict the ""Theft"" state on every enemy target. While under the ""Theft"" state, enemy targets have their DEF decreased by 8/9/10/11/12% for 2 turn(s). When ""Bamboozle"" or ""Theft"" is repeatedly inflicted, only the most recently inflicted instance takes effect."
Life Should Be Cast to Flames,life-should-be-cast-to-flames,5,Erudition,953,582,529,"When the wearer's turn starts, regenerates 10 Energy. If the enemy target has a Weakness implanted by the wearer, increases the wearer's DMG dealt to it by 60/70/80/90/100% . When an enemy target gets attacked by the wearer, the wearer decreases the target's DEF by 12/15/18/21/24% , lasting for 2 turn(s). The same types of effects cannot stack."
Lingering Tear,lingering-tear,3,Elation,847,318,265,"When Punchline is 10 or more, the wearer's CRIT DMG increases by 20/25/30/35/40% ."
Long May Rainbows Adorn the Sky,long-may-rainbows-adorn-the-sky,5,Remembrance,1164,476,529,"Increases the wearer's SPD by 18/21/24/27/30% . When the wearer uses Basic ATK, Skill, or Ultimate, consumes all allies' HP equal to 1/1.3/1.5/1.7/2.0% of their current HP and additionally deals 1 instance of Additional DMG of the wearer's memosprite Type equal to 250/312.5/375/437.5/500% of the total consumed HP to the attacked target after the next attack launched by the wearer's memosprite. The total HP consumed is then reset. When the wearer's memosprite uses Memosprite Skill, increases the DMG taken by all enemies by 18/22.5/27/31.5/36% for 2 turn(s). The same types of effects cannot stack."
Long Road Leads Home,long-road-leads-home,5,Nihility,952,476,661,"Increases the wearer's Break Effect by 60/70/80/90/100% . When an enemy target's Weakness gets broken, there is a 100% base chance to inflict the ""Charring"" state on it, which increases its Break DMG taken by 18/21/24/27/30% , lasting for 2 turn(s). This effect can stack 2 time(s)."
Loop,loop,3,Nihility,846,317,264,Increases DMG dealt from its wearer to Slowed enemies by 24 /30/36/42/48 %
Make Farewells More Beautiful,make-farewells-more-beautiful,5,Remembrance,1270,529,397,"Increases the wearer's Max HP by 30/38/45/53/60% . When the wearer or their memosprite loses HP during their own turn, the wearer gains ""Death Flower,"" which allows the wearer and their memosprite to ignore 30/35/40/45/50% of the target's DEF when dealing DMG, lasting for 2 turn(s). When the wearer's memosprite disappears, advances the wearer's action by 12/15/18/21/24% . This effect can only trigger up to 1 time, and the trigger count resets every time the wearer uses Ultimate."
Make the World Clamor,make-the-world-clamor,4,Erudition,846,476,396,"The wearer regenerates 20/23/26/29/32 Energy immediately upon entering battle, and increases Ultimate DMG by 32/40/48/56/64% ."
Mediation,mediation,3,Harmony,846,317,264,"Upon battle entry, all allies receive 12 /14/16/18/20 increased SPD for 1 turn(s)."
Memories of the Past,memories-of-the-past,4,Harmony,952,423,396,"Increases the wearer's Break Effect by 28/35/42/49/56% . When the wearer attacks, additionally regenerates 4/5/6/7/8 Energy. This effect can only be triggered 1 time per turn."
Memory's Curtain Never Falls,memory-s-curtain-never-falls,5,Remembrance,1058,529,397,"Increases the wearer's SPD by 6/7.5/9/10.5/12% . After the wearer uses Skill, increases the DMG dealt by all allies by 8/10/12/14/16% , lasting for 3 turn(s)."
Meshing Cogs,meshing-cogs,3,Harmony,846,317,264,"After the wearer uses attacks or gets hit, additionally regenerates 4/5/6/7/8 Energy. This effect can only be triggered 1 time per turn."
Moment of Victory,moment-of-victory,5,Preservation,1058,476,595,"Increases the wearer's DEF by 24/28/32/36/40% and Effect Hit Rate by 24/28/32/36/40% . Increases the chance for the wearer to be attacked by enemies. When the wearer is attacked, increase their DEF by an additional 24/28/32/36/40% until the end of the wearer's turn."
Multiplication,multiplication,3,Abundance,952,317,198,"After the wearer uses their Basic ATK, their next action will be Advanced Forward by 12 /14/16/18/20 % ."
Mushy Shroomy's Adventures,mushy-shroomy-s-adventures,4,Elation,847,476,397,"Increases the wearer's Elation by 12/14/16/18/20% . When the wearer uses an Elation Skill, increases Elation DMG taken by all enemies by 6/7/8/9/10% for 2 turn(s)."
Mutual Demise,mutual-demise,3,Destruction,846,370,198,"If the wearer's current HP is lower than 80% , CRIT Rate increases by 12/15 /18/21/24 % ."
Never Forget Her Flame,never-forget-her-flame,5,Nihility,1164,529,463,"Increases the wearer's Break Effect by 60/75/90/105/120% . When entering combat, increases Break DMG dealt by the wearer and another teammate who triggered combat by 32/42/52/62/72% . If there is no teammate who triggered combat, applies this effect to the wearer and the teammate with the highest Break Effect. Effects of the same type cannot be stacked. When the wearer applies Weakness to an enemy target, recovers 1 Skill Point. This effect can only trigger once, and trigger count resets when using Ultimate."
Night of Fright,night-of-fright,5,Abundance,1164,476,529,"Increases the wearer's Energy Regeneration Rate by 12/14/16/18/20% . When any ally uses their Ultimate, the wearer restores HP for the ally currently with the lowest HP percentage by an amount equal to 10/11/12/13/14% of the healed ally's Max HP. When the wearer provides healing for an ally, increases the healed ally's ATK by 2.4/2.8/3.2/3.6/4% . This effect can stack up to 5 times and lasts for 2 turn(s)."
Night on the Milky Way,night-on-the-milky-way,5,Erudition,1164,582,396,"For every enemy on the field, increases the wearer's ATK by 9 /10.5/12/13.5/15 % , up to 5 stacks. When an enemy is inflicted with Weakness Break, the DMG dealt by the wearer increases by 30 /35/40/45/50 % for 1 turn."
Ninja Record: Sound Hunt,ninja-record-sound-hunt,4,Destruction,1058,476,265,"Increases the wearer's Max HP by 12/15/18/21/24% . When losing or restoring this unit's HP, increases CRIT DMG by 18/22.5/27/31.5/36% , lasting for 2 turn(s). This effect can only trigger once per turn."
Ninjutsu Inscription: Dazzling Evilbreaker,ninjutsu-inscription-dazzling-evilbreaker,5,Erudition,953,582,529,"Increases the wearer's Break Effect by 60/70/80/90/100% . When entering battle, immediately regenerates 30/32.5/35/37.5/40 Energy. After the wearer uses Ultimate, obtains ""Raiton."" After using 2 Basic ATKs, advances the wearer's action by 50/55/60/65/70% and removes ""Raiton."" After the wearer uses Ultimate, resets ""Raiton."""
Nowhere to Run,nowhere-to-run,4,Destruction,952,529,264,"Increases the wearer's ATK by 24 /30/36/42/48 % . Whenever the wearer defeats an enemy, they restore HP equal to 12/15/18/21/24% of their ATK."
On the Fall of an Aeon,on-the-fall-of-an-aeon,5,Destruction,1058,529,396,"Whenever the wearer attacks, their ATK is increased by 8 /10/12/14/16 % in this battle, up to 4 time(s). When the wearer inflicts Weakness Break on enemies, the wearer's DMG increases by 12 /15/18/21/24 % for 2 turn(s)."
Only Silence Remains,only-silence-remains,4,Hunt,952,476,330,"Increases ATK of its wearer by 16 /20/24/28/32 % . If there are 2 or fewer enemies on the field, increases wearer's CRIT Rate by 12 /15/18/21/24 % ."
Passkey,passkey,3,Erudition,740,370,264,"After the wearer uses their Skill, additionally regenerates 8/9 /10/11/12 Energy. This effect can only be triggered 1 time per turn."
Past Self in Mirror,past-self-in-mirror,5,Harmony,1058,529,529,"Increases the wearer's Break Effect by 60/70/80/90/100% . After the wearer uses their Ultimate, increases all allies' DMG by 24/28/32/36/40% , lasting for 3 turns. Should the wearer's Break Effect exceed or equal 150%, 1 Skill Point will be recovered. At the start of each wave, immediately regenerates 10/12.5/15/17.5/20 Energy for all allies. Effects of the same type cannot stack."
Past and Future,past-and-future,4,Harmony,952,423,396,"When the wearer uses their Skill, then the next ally taking action (except the wearer) deals 16 /20/24/28/32 % increased DMG for 1 turn(s)."
