character,slug,eidolon,eidolon_number,name,description
Aglaea,aglaea,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Memosprite Talent Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Memosprite Talent Lv. +1 , up to a maximum of Lv. 10."
Aglaea,aglaea,E5,5,The SPD Boost effect from the Memosprite Talent has its max stack limit increased by,"The SPD Boost effect from the Memosprite Talent has its max stack limit increased by 1 . After Aglaea uses an attack, can also make Garmentmaker gain the SPD Boost effect from the Memosprite Talent. 1 . After Aglaea uses an attack, can also make Garmentmaker gain the SPD Boost effect from the Memosprite Talent."
Aglaea,aglaea,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. Memosprite Skill Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. Memosprite Skill Lv. +1 , up to a maximum of Lv. 10."
Aglaea,aglaea,E7,7,"While Aglaea is in ""Supreme Stance,"" increases her and Garmentmaker's","While Aglaea is in ""Supreme Stance,"" increases her and Garmentmaker's Lightning RES PEN by 20% . When Aglaea's or Garmentmaker's SPD is greater than 160/240/320, the Joint ATK DMG dealt by them increases by 10% / 30% / 60% . Lightning RES PEN by 20% . When Aglaea's or Garmentmaker's SPD is greater than 160/240/320, the Joint ATK DMG dealt by them increases by 10% / 30% / 60% ."
Anaxa,anaxa,E1,1,E,"Magician, Isolated by Stars 1 Magician, Isolated by Stars Eidolon 1 After using Skill for the first time, recovers 1 Skill Point(s). When using Skill to hit enemy targets, decreases the targets' DEF by 16% , lasting for 2 turn(s). E 2 Soul, True to History Eidolon 2 When enemy targets enter the battlefield, triggers 1 instance of the Talent's Weakness Implant effect, and reduces their All-Type RES by 20% . E 3 Pupil, Etched into Cosmos Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Blaze, Plunged to Canyon Eidolon 4 When using Skill, increases ATK by 30% , lasting for 2 turn(s). This effect can stack up to 2 time(s). E 5 Embryo, Set Beyond Vortex Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Everything Is in Everything Eidolon 6 The DMG dealt by Anaxa is 130% of the original DMG. The 2 effects in the Trace ""Imperative Hiatus"" will be triggered directly and will no longer depend on the number of ""Erudition"" characters in the team."
Anaxa,anaxa,E2,2,"After using Skill for the first time, recovers","After using Skill for the first time, recovers 1 Skill Point(s). When using Skill to hit enemy targets, decreases the targets' DEF by 16% , lasting for 2 turn(s). 1 Skill Point(s). When using Skill to hit enemy targets, decreases the targets' DEF by 16% , lasting for 2 turn(s)."
Anaxa,anaxa,E3,3,"When enemy targets enter the battlefield, triggers 1 instance of the Talent's Weakness Implant effect, and reduces their All-Type RES by","When enemy targets enter the battlefield, triggers 1 instance of the Talent's Weakness Implant effect, and reduces their All-Type RES by 20% . 20% ."
Anaxa,anaxa,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Anaxa,anaxa,E5,5,"When using Skill, increases ATK by","When using Skill, increases ATK by 30% , lasting for 2 turn(s). This effect can stack up to 2 time(s). 30% , lasting for 2 turn(s). This effect can stack up to 2 time(s)."
Anaxa,anaxa,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Anaxa,anaxa,E7,7,The DMG dealt by Anaxa is,"The DMG dealt by Anaxa is 130% of the original DMG. The 2 effects in the Trace ""Imperative Hiatus"" will be triggered directly and will no longer depend on the number of ""Erudition"" characters in the team. 130% of the original DMG. The 2 effects in the Trace ""Imperative Hiatus"" will be triggered directly and will no longer depend on the number of ""Erudition"" characters in the team."
Archer,archer,E1,1,E,"The Unreached Dream 1 The Unreached Dream Eidolon 1 After using Skill 3 time(s) within one turn, recovers 2 Skill Point(s) for allies. E 2 The Unfulfilled Happiness Eidolon 2 When using Ultimate, reduces the enemy target's Quantum RES by 20% , and induces Quantum Weakness for it, lasting for 2 turn(s). E 3 The Untamed Will Eidolon 3 Skill Lv. + 2 , up to a maximum of Lv. 15 . Basic ATK Lv. + 1 , up to a maximum of Lv. 10 . E 4 The Unsung Life Eidolon 4 Increases Ultimate DMG dealt by 150% . E 5 The Nameless Watch Eidolon 5 Ultimate Lv. + 2 , up to a maximum of Lv. 15 . Talent Lv. + 2 , up to a maximum of Lv. 15 . E 6 The Endless Pilgrimage Eidolon 6 When the turn begins, recovers 1 Skill Point for allies. The number of maximum stacks for the DMG boost effect provided by his Skill increases by 1 . His Skill DMG dealt ignores 20% of DEF."
Archer,archer,E2,2,After using Skill,"After using Skill 3 time(s) within one turn, recovers 2 Skill Point(s) for allies. 3 time(s) within one turn, recovers 2 Skill Point(s) for allies."
Archer,archer,E3,3,"When using Ultimate, reduces the enemy target's Quantum RES by","When using Ultimate, reduces the enemy target's Quantum RES by 20% , and induces Quantum Weakness for it, lasting for 2 turn(s). 20% , and induces Quantum Weakness for it, lasting for 2 turn(s)."
Archer,archer,E4,4,Skill Lv. +,"Skill Lv. + 2 , up to a maximum of Lv. 15 . Basic ATK Lv. + 1 , up to a maximum of Lv. 10 . 2 , up to a maximum of Lv. 15 . Basic ATK Lv. + 1 , up to a maximum of Lv. 10 ."
Archer,archer,E5,5,Increases Ultimate DMG dealt by,Increases Ultimate DMG dealt by 150% . 150% .
Archer,archer,E6,6,Ultimate Lv. +,"Ultimate Lv. + 2 , up to a maximum of Lv. 15 . Talent Lv. + 2 , up to a maximum of Lv. 15 . 2 , up to a maximum of Lv. 15 . Talent Lv. + 2 , up to a maximum of Lv. 15 ."
Archer,archer,E7,7,"When the turn begins, recovers","When the turn begins, recovers 1 Skill Point for allies. The number of maximum stacks for the DMG boost effect provided by his Skill increases by 1 . His Skill DMG dealt ignores 20% of DEF. 1 Skill Point for allies. The number of maximum stacks for the DMG boost effect provided by his Skill increases by 1 . His Skill DMG dealt ignores 20% of DEF."
Argenti,argenti,E1,1,E,"A Lacuna in Kingdom of Aesthetics 1 A Lacuna in Kingdom of Aesthetics Eidolon 1 Each stack of Apotheosis additionally increases CRIT DMG by 4%. E 2 Agate's Humility Eidolon 2 If the number of enemies on the field equals to 3 or more when the Ultimate is used, ATK increases by 40% for 1 turn(s). E 3 Thorny Road's Glory Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 4 Trumpet's Dedication Eidolon 4 At the start of battle, gains 2 stack(s) of Apotheosis and increases the maximum stack limit of the Talent's effect by 2 . E 5 Snow, From Somewhere in Cosmos Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10, E 6 ""Your"" Resplendence Eidolon 6 When using Ultimate, ignores 30% of enemy targets' DEF."
Argenti,argenti,E2,2,Each stack of Apotheosis additionally increases CRIT DMG by,Each stack of Apotheosis additionally increases CRIT DMG by 4%. 4%.
Argenti,argenti,E3,3,If the number of enemies on the field equals to,"If the number of enemies on the field equals to 3 or more when the Ultimate is used, ATK increases by 40% for 1 turn(s). 3 or more when the Ultimate is used, ATK increases by 40% for 1 turn(s)."
Argenti,argenti,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Argenti,argenti,E5,5,"At the start of battle, gains","At the start of battle, gains 2 stack(s) of Apotheosis and increases the maximum stack limit of the Talent's effect by 2 . 2 stack(s) of Apotheosis and increases the maximum stack limit of the Talent's effect by 2 ."
Argenti,argenti,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10, +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10,"
Argenti,argenti,E7,7,"When using Ultimate, ignores","When using Ultimate, ignores 30% of enemy targets' DEF. 30% of enemy targets' DEF."
Arlan,arlan,E1,1,E,"To the Bitter End 1 To the Bitter End Eidolon 1 When HP percentage is lower than or equal to 50% of Max HP, increases DMG dealt by Skill by 10% . E 2 Breaking Free Eidolon 2 Using Skill or Ultimate removes 1 debuff from this unit. E 3 Power Through Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 . E 4 Turn the Tables Eidolon 4 When struck by a killing blow after entering battle, instead of becoming knocked down, Arlan immediately restores his HP to 25% of his Max HP. This effect is automatically removed after it is triggered once or after 2 turn(s) have elapsed. E 5 Hammer and Tongs Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . E 6 Self-Sacrifice Eidolon 6 When the current HP percentage drops to 50% or below, Ultimate deals 20% more DMG, and the DMG multiplier for adjacent targets is raised to the same level as that for the primary target."
Arlan,arlan,E2,2,When HP percentage is lower than or equal to,"When HP percentage is lower than or equal to 50% of Max HP, increases DMG dealt by Skill by 10% . 50% of Max HP, increases DMG dealt by Skill by 10% ."
Arlan,arlan,E3,3,Using Skill or Ultimate removes,Using Skill or Ultimate removes 1 debuff from this unit. 1 debuff from this unit.
Arlan,arlan,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 . +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 ."
Arlan,arlan,E5,5,"When struck by a killing blow after entering battle, instead of becoming knocked down, Arlan immediately restores his HP to","When struck by a killing blow after entering battle, instead of becoming knocked down, Arlan immediately restores his HP to 25% of his Max HP. This effect is automatically removed after it is triggered once or after 2 turn(s) have elapsed. 25% of his Max HP. This effect is automatically removed after it is triggered once or after 2 turn(s) have elapsed."
Arlan,arlan,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 ."
Arlan,arlan,E7,7,When the current HP percentage drops to,"When the current HP percentage drops to 50% or below, Ultimate deals 20% more DMG, and the DMG multiplier for adjacent targets is raised to the same level as that for the primary target. 50% or below, Ultimate deals 20% more DMG, and the DMG multiplier for adjacent targets is raised to the same level as that for the primary target."
Ashveil,ashveil,E1,1,E,"Beware: Venture Not at Full Moon 1 Beware: Venture Not at Full Moon Eidolon 1 While Ashveil is on the field, increases DMG taken by all enemies by 24% . When an enemy target's current HP percentage is 50% or lower, the DMG they take increases to 36% . E 2 Knock: Where Snickers Echo Eidolon 2 The max stack limit of ""Gluttony"" increases to 18 . After each time Ashveil launches the enhanced Talent's Follow-Up ATK, refunds 35% of the removed ""Gluttony"" stacks. E 3 Hush: Unsaid Between Friends Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Heed: Swallow Truth Whole Eidolon 4 When Ashveil uses Ultimate, increases ATK by 40% for 3 turn(s). E 5 Caution: Sleuth Turns Slayer Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Finale: And Then There Were None Eidolon 6 When the ""Bait"" exists on the field, reduces all enemies' All-Type RES by 20% . For every 1 stack of ""Gluttony"" Ashveil has gained, the DMG dealt increases by 4% . This effect can stack up to 30 time(s)."
Ashveil,ashveil,E2,2,"While Ashveil is on the field, increases DMG taken by all enemies by","While Ashveil is on the field, increases DMG taken by all enemies by 24% . When an enemy target's current HP percentage is 50% or lower, the DMG they take increases to 36% . 24% . When an enemy target's current HP percentage is 50% or lower, the DMG they take increases to 36% ."
Ashveil,ashveil,E3,3,"The max stack limit of ""Gluttony"" increases to","The max stack limit of ""Gluttony"" increases to 18 . After each time Ashveil launches the enhanced Talent's Follow-Up ATK, refunds 35% of the removed ""Gluttony"" stacks. 18 . After each time Ashveil launches the enhanced Talent's Follow-Up ATK, refunds 35% of the removed ""Gluttony"" stacks."
Ashveil,ashveil,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Ashveil,ashveil,E5,5,"When Ashveil uses Ultimate, increases ATK by","When Ashveil uses Ultimate, increases ATK by 40% for 3 turn(s). 40% for 3 turn(s)."
Ashveil,ashveil,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Ashveil,ashveil,E7,7,"When the ""Bait"" exists on the field, reduces all enemies' All-Type RES by","When the ""Bait"" exists on the field, reduces all enemies' All-Type RES by 20% . For every 1 stack of ""Gluttony"" Ashveil has gained, the DMG dealt increases by 4% . This effect can stack up to 30 time(s). 20% . For every 1 stack of ""Gluttony"" Ashveil has gained, the DMG dealt increases by 4% . This effect can stack up to 30 time(s)."
Asta,asta,E1,1,E,"Star Sings Sans Verses or Vocals 1 Star Sings Sans Verses or Vocals Eidolon 1 When using Skill, deals DMG for 1 extra time to a random enemy. E 2 Moon Speaks in Wax and Wane Eidolon 2 After using her Ultimate, Asta's Charging stacks will not be reduced in the next turn. E 3 Meteor Showers for Wish and Want Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . E 4 Aurora Basks in Beauty and Bliss Eidolon 4 Asta's Energy Regeneration Rate increases by 15% when she has 2 or more Charging stacks. E 5 Nebula Secludes in Cold Cosmos Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 . E 6 Galaxy Dreams in Calm and Comfort Eidolon 6 Charging stack(s) lost in each turn is reduced by 1 ."
Asta,asta,E2,2,"When using Skill, deals DMG for","When using Skill, deals DMG for 1 extra time to a random enemy. 1 extra time to a random enemy."
Asta,asta,E3,3,,"After using her Ultimate, Asta's Charging stacks will not be reduced in the next turn."
Asta,asta,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 ."
Asta,asta,E5,5,Asta's Energy Regeneration Rate increases by,Asta's Energy Regeneration Rate increases by 15% when she has 2 or more Charging stacks. 15% when she has 2 or more Charging stacks.
Asta,asta,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 . +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 ."
Asta,asta,E7,7,Charging stack(s) lost in each turn is reduced by,Charging stack(s) lost in each turn is reduced by 1 . 1 .
Aventurine,aventurine,E1,1,E,"Prisoner's Dilemma 1 Prisoner's Dilemma Eidolon 1 Increases CRIT DMG by 20% for allies with Fortified Wager. After using the Ultimate, provides all allies with a Fortified Wager shield, whose Shield effect is equal to 100% of the one provided by the Skill, lasting for 3 turn(s). E 2 Bounded Rationality Eidolon 2 When using Basic ATK, reduces the target's All-Type RES by 12% for 3 turn(s). E 3 Droprate Maxing Eidolon 3 Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. E 4 Unexpected Hanging Paradox Eidolon 4 When triggering his Talent's follow-up attack, first increases Aventurine's DEF by 40% for 2 turn(s), and additionally increases the Hits Per Action for his talent's follow-up attack by 3 . E 5 Ambiguity Aversion Eidolon 5 Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. E 6 Stag Hunt Game Eidolon 6 For every ally with a Shield, the DMG dealt by Aventurine increases by 50% , up to a maximum of 150% ."
Aventurine,aventurine,E2,2,Increases CRIT DMG by,"Increases CRIT DMG by 20% for allies with Fortified Wager. After using the Ultimate, provides all allies with a Fortified Wager shield, whose Shield effect is equal to 100% of the one provided by the Skill, lasting for 3 turn(s). 20% for allies with Fortified Wager. After using the Ultimate, provides all allies with a Fortified Wager shield, whose Shield effect is equal to 100% of the one provided by the Skill, lasting for 3 turn(s)."
Aventurine,aventurine,E3,3,"When using Basic ATK, reduces the target's All-Type RES by","When using Basic ATK, reduces the target's All-Type RES by 12% for 3 turn(s). 12% for 3 turn(s)."
Aventurine,aventurine,E4,4,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10."
Aventurine,aventurine,E5,5,"When triggering his Talent's follow-up attack, first increases Aventurine's DEF by","When triggering his Talent's follow-up attack, first increases Aventurine's DEF by 40% for 2 turn(s), and additionally increases the Hits Per Action for his talent's follow-up attack by 3 . 40% for 2 turn(s), and additionally increases the Hits Per Action for his talent's follow-up attack by 3 ."
Aventurine,aventurine,E6,6,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Aventurine,aventurine,E7,7,"For every ally with a Shield, the DMG dealt by Aventurine increases by","For every ally with a Shield, the DMG dealt by Aventurine increases by 50% , up to a maximum of 150% . 50% , up to a maximum of 150% ."
Aventurine Waveflair,aventurine-waveflair,E1,1,E,1 Eidolon 1
Aventurine Waveflair,aventurine-waveflair,E2,2,,
Bailu,bailu,E1,1,E,"Ambrosial Aqua 1 Ambrosial Aqua Eidolon 1 If the target ally's current HP is equal to their Max HP when Invigoration ends, Bailu additionally regenerates 8 Energy for this target. E 2 Sylphic Slumber Eidolon 2 After using her Ultimate, Bailu's Outgoing Healing increases by an additional 15% for 2 turn(s). E 3 Omniscient Opulence Eidolon 3 Skill Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . E 4 Evil Excision Eidolon 4 Every healing provided by Bailu's Skill makes the recipient deal 10% more DMG for 2 turn(s). This effect can stack up to 3 time(s). E 5 Waning Worries Eidolon 5 Ultimate Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 . E 6 Drooling Drop of Draconic Divinity Eidolon 6 Bailu can heal allies who received a killing blow 1 more time(s) in a single battle."
Bailu,bailu,E2,2,"If the target ally's current HP is equal to their Max HP when Invigoration ends, Bailu additionally regenerates","If the target ally's current HP is equal to their Max HP when Invigoration ends, Bailu additionally regenerates 8 Energy for this target. 8 Energy for this target."
Bailu,bailu,E3,3,"After using her Ultimate, Bailu's Outgoing Healing increases by an additional","After using her Ultimate, Bailu's Outgoing Healing increases by an additional 15% for 2 turn(s). 15% for 2 turn(s)."
Bailu,bailu,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 . +2 , up to a maximum of Lv. 15 . Talent Lv. +2 , up to a maximum of Lv. 15 ."
Bailu,bailu,E5,5,Every healing provided by Bailu's Skill makes the recipient deal,Every healing provided by Bailu's Skill makes the recipient deal 10% more DMG for 2 turn(s). This effect can stack up to 3 time(s). 10% more DMG for 2 turn(s). This effect can stack up to 3 time(s).
Bailu,bailu,E6,6,Ultimate Lv.,"Ultimate Lv. +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 . +2 , up to a maximum of Lv. 15 . Basic ATK Lv. +1 , up to a maximum of Lv. 10 ."
Bailu,bailu,E7,7,Bailu can heal allies who received a killing blow,Bailu can heal allies who received a killing blow 1 more time(s) in a single battle. 1 more time(s) in a single battle.
Black Swan,black-swan,E1,1,Seven Pillars of Wisdom,"Seven Pillars of Wisdom While Black Swan is active in combat, enemies afflicted with Wind Shear, Bleed, Burn, or Shock will have their corresponding Wind, Physical, Fire, or Lightning RES respectively reduced by 25% . Weep Not For Me, My Lamb When enemy targets enter combat, there is a 100% base chance to inflict 30 stack(s) of ""Arcana"" on them. As Above, So Below Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. In Tears We Gift While in the ""Epiphany"" state, enemy targets take 20% increased DMG. And at the start of every turn or when they get defeated, regenerates 8 Energy for Black Swan. Linnutee Flyway Ultimate Lv. +2 , up to a maximum of Lv. 15. Basic ATK Lv. +1 , up to a maximum of Lv. 10. Pantheon Merciful, Masses Pitiful The upper limit of stackable ""Arcana"" increases by 30 . When an enemy target gets attacked by Black Swan's teammates, Black Swan has a 65% base chance of inflicting 1 stack of ""Arcana"" on the target. For every 1 stack of ""Arcana"" Black Swan inflicts on an enemy target, additionally increases the number of ""Arcana"" stacked this time by 1 ."
Black Swan,black-swan,E2,2,"While Black Swan is active in combat, enemies afflicted with Wind Shear, Bleed, Burn, or Shock will have their corresponding Wind, Physical, Fire, or Lightning RES respectively reduced by","While Black Swan is active in combat, enemies afflicted with Wind Shear, Bleed, Burn, or Shock will have their corresponding Wind, Physical, Fire, or Lightning RES respectively reduced by 25% . 25% ."
Black Swan,black-swan,E3,3,"When enemy targets enter combat, there is a","When enemy targets enter combat, there is a 100% base chance to inflict 30 stack(s) of ""Arcana"" on them. 100% base chance to inflict 30 stack(s) of ""Arcana"" on them."
Black Swan,black-swan,E4,4,Skill Lv.,"Skill Lv. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15. +2 , up to a maximum of Lv. 15. Talent Lv. +2 , up to a maximum of Lv. 15."
Black Swan,black-swan,E5,5,"While in the ""Epiphany"" state, enemy targets take","While in the ""Epiphany"" state, enemy targets take 20% increased DMG. And at the start of every turn or when they get defeated, regenerates 8 Energy for Black Swan. 20% increased DMG. And at the start of every turn or when they get defeated, regenerates 8 Energy for Black Swan."
